,SimNum,Iteration,Period,Fidelity,Agent,X,Y,XMax,YMax,VarMax,Var0,XCentroid,YCentroid,ProbExplore,Explore,Distance
0,0,0,0,S,0,0.9043594180056126,0.019074153068861843,1.0,0.019074153068861843,0.012558481952467103,0.012958232195891093,0.7896597457004407,0.2536851263886385,0.0,0.0,0.0
1,0,0,0,S,1,0.22504017164190215,0.7081941777138016,0.0,0.7081941777138016,0.012558481952467103,0.012958232195891093,0.22271357339082318,0.6192945849123098,0.0,0.0,0.0
2,0,0,0,S,2,0.49051239825941007,0.8326108107498272,1.0,0.8326108107498272,0.012558481952467103,0.012958232195891093,0.6352058784617405,0.7701834650429218,0.0,0.0,0.0
3,0,0,0,S,3,0.4373738386671677,0.9586028525489184,0.32,0.9586028525489184,0.012319046339703639,0.012958232195891093,0.42131245270167617,0.9427557922899181,0.0,0.0,0.0
4,0,1,0,S,0,1.0,0.0,0.68,0.0,0.01231904365334852,0.012958232195891093,0.7606241864656926,0.29651127421210793,1.0,1.0,0.09752407005206208
5,0,1,0,S,1,0.0,0.8200000000000001,0.0,0.8200000000000001,0.01255848194530172,0.012958232195891093,0.2437912848834363,0.5728051770715887,1.0,1.0,0.2512839444726021
6,0,1,0,S,2,0.68,0.8200000000000001,1.0,0.8200000000000001,0.01249151591322735,0.012958232195891093,0.6885382965141221,0.774078278468286,1.0,1.0,0.18990677650144136
7,0,1,0,S,3,0.32,1.0,0.0,1.0,0.011496682228732971,0.012958232195891093,0.39486230708843084,0.8931183745585579,1.0,1.0,0.12446020175362446
8,0,2,0,S,0,0.66,0.0,0.34,0.0,0.01231897503598196,0.012958232195891093,0.7598053968123951,0.3133702534792638,1.0,1.0,0.33999999999999997
9,0,2,0,S,1,0.0,0.66,0.0,0.66,0.012558472392976014,0.012958232195891093,0.2576977635437259,0.5188729948934294,1.0,1.0,0.16000000000000003
10,0,2,0,S,2,0.8200000000000001,1.0,1.0,1.0,0.012244662567571254,0.012958232195891093,0.7226316798897355,0.7897936759818452,1.0,1.0,0.22803508501982755
11,0,2,0,S,3,0.48,1.0,0.0,1.0,0.011270813935909674,0.012958232195891093,0.3899663127777226,0.871057580724482,1.0,1.0,0.15999999999999998
12,0,3,0,S,0,0.8200000000000001,0.0,0.34,0.0,0.012318945279752221,0.012958232195891093,0.7678232956874421,0.32310912564392064,1.0,1.0,0.16000000000000003
13,0,3,0,S,1,0.18,0.68,0.0,0.68,0.012558455501951997,0.012958232195891093,0.2745744361119996,0.4470807115511074,1.0,1.0,0.18110770276274832
14,0,3,0,S,2,1.0,1.0,1.0,1.0,0.012237015813161424,0.012958232195891093,0.7364350191548382,0.7973200696537083,1.0,1.0,0.17999999999999994
15,0,3,0,S,3,0.66,1.0,0.0,1.0,0.011255954044450869,0.012958232195891093,0.3861170738453807,0.8579753970944908,1.0,1.0,0.18000000000000005
16,0,4,0,S,0,0.5,0.0,1.0,0.0,0.01227807850507622,0.012958232195891093,0.7783328985840994,0.3258012884861958,1.0,1.0,0.32000000000000006
17,0,4,0,S,1,0.34,0.66,0.0,0.66,0.012558454965042693,0.012958232195891093,0.28070781943182316,0.4095901048937849,1.0,1.0,0.16124515496597103
18,0,4,0,S,2,1.0,0.84,1.0,0.84,0.011546503742897243,0.012958232195891093,0.7294167463377044,0.8023006561821822,1.0,1.0,0.16000000000000003
19,0,4,0,S,3,0.16,1.0,0.0,1.0,0.0090186045226542,0.012958232195891093,0.3940832225527458,0.8438029844252951,1.0,1.0,0.5
20,0,5,0,S,0,0.34,0.0,1.0,0.0,0.012278047488669694,0.012958232195891093,0.7814061851210067,0.3285575437827055,1.0,1.0,0.15999999999999998
21,0,5,0,S,1,0.32,0.34,0.0,0.34,0.012550778684037868,0.012958232195891093,0.2683978499990674,0.40387202703977804,1.0,1.0,0.32062439083762795
22,0,5,0,S,2,1.0,0.66,0.66,0.66,0.010653424385046687,0.012958232195891093,0.7291727720701477,0.8065470221320246,1.0,1.0,0.17999999999999994
23,0,5,0,S,3,0.3940832225527458,0.8438029844252951,0.0,0.8438029844252951,0.009018563409763466,0.012958232195891093,0.39411519986816645,0.8377975017755166,0.0,0.0,0.2814115540540632
24,0,6,0,S,0,0.66,0.18,1.0,0.18,0.012176339751779876,0.012958232195891093,0.7951309466808187,0.3378818248510313,1.0,1.0,0.3671511950137164
25,0,6,0,S,1,0.34,0.18,0.0,0.18,0.012510777873490643,0.012958232195891093,0.2612028224212937,0.3996696570308444,1.0,1.0,0.16124515496597103
26,0,6,0,S,2,0.8200000000000001,0.66,0.62,0.66,0.009610373712279813,0.012958232195891093,0.7251149017151791,0.81950843150134,1.0,1.0,0.17999999999999994
27,0,6,0,S,3,0.39411519986816645,0.8377975017755166,0.0,0.8377975017755166,0.009018556028740837,0.012958232195891093,0.39403625312539403,0.8350607166585063,0.0,0.0,0.0060055677837730125
28,0,7,0,S,0,0.68,0.34,1.0,0.34,0.012174886635912608,0.012958232195891093,0.8210812576654686,0.33313756074410605,1.0,1.0,0.16124515496597103
29,0,7,0,S,1,0.5,0.32,0.0,0.32,0.012510613944900323,0.012958232195891093,0.2502475916068637,0.40027442574357086,1.0,1.0,0.21260291625469296
30,0,7,0,S,2,0.66,0.66,0.56,0.66,0.004363414475814932,0.012958232195891093,0.7269975849034829,0.8287966594372035,1.0,1.0,0.16000000000000003
31,0,7,0,S,3,0.39403625312539403,0.8350607166585063,0.0,0.8350607166585063,0.009018544572540164,0.012958232195891093,0.39351578664733966,0.8341190478305045,0.0,0.0,0.002737923549860954
