,SimNum,Iteration,Agent,X,Y,Sample
0,0,1,0.0,0.0,0.0,0.673584155232106
1,0,1,1.0,0.7000000000000001,0.0,0.01050608403594439
2,0,1,2.0,0.0,0.18,0.7231316613186033
3,0,1,3.0,0.34,0.26,0.1974062821917183
4,0,2,2.0,0.62,1.0,0.1788850220067227
5,0,2,3.0,1.0,1.0,0.6735841552321062
6,0,3,1.0,1.0,0.44,0.021673807954836862
7,0,3,2.0,0.0,1.0,0.00990099157789989
8,0,4,2.0,0.3,0.68,0.010714107102437509
9,0,5,0.0,0.36,0.0,0.21962750953120955
10,0,5,1.0,1.0,0.0,0.00990099157789989
11,0,5,3.0,0.7000000000000001,0.62,0.10264463819748693
12,0,6,2.0,0.0,0.58,0.017984193517313216
13,0,6,3.0,1.0,0.72,0.4339312196527251
14,0,7,1.0,0.68,0.3,0.010714107102437509
15,0,8,3.0,0.3,1.0,0.01050608403594439
16,0,9,1.0,0.48,0.48,0.013824917143364429
17,0,9,2.0,0.18,0.44,0.09619917966159212
18,0,11,3.0,1.0,0.24,0.010034331625259546
19,0,16,1.0,0.54,0.12,0.03034759185039125
20,0,16,3.0,0.52,0.8,0.05504409412933317
21,0,19,3.0,0.8,0.86,0.7949961315892357
22,0,20,2.0,0.0,0.8,0.00994586732240386
23,0,22,0.0,0.16,0.08,0.9238775593270996
24,0,22,1.0,0.84,0.14,0.009926505372376502
25,0,31,2.0,0.16,0.88,0.00992283875896936
26,0,32,0.0,0.1,0.28,0.527812715965565
27,0,33,1.0,0.8200000000000001,0.32,0.01095535068884618
28,0,45,3.0,0.8200000000000001,1.0,0.7231316613186034
29,1,1,0.0,0.0,0.0,0.673584155232106
30,1,1,1.0,0.12,1.0,0.00990514311082838
31,1,1,2.0,0.34,0.0,0.266061571983096
32,1,1,3.0,0.0,0.52,0.033703691952778746
33,1,2,0.0,0.46,0.56,0.013019184693300741
34,1,2,1.0,1.0,1.0,0.6735841552321062
35,1,2,2.0,1.0,0.86,0.7949961310621264
36,1,2,3.0,0.32,0.64,0.011310195069673208
37,1,3,1.0,0.58,1.0,0.11446544680006275
38,1,3,2.0,1.0,0.0,0.00990099157789989
39,1,4,2.0,1.0,0.42,0.01798419351731321
40,1,5,0.0,0.58,0.0,0.017984193517313216
41,1,5,1.0,0.76,0.66,0.22131235954466824
42,1,5,2.0,0.68,0.18,0.01095535068884618
43,1,5,3.0,0.0,0.8,0.00994586732240386
44,1,6,0.0,0.24,0.3,0.31050836478945754
45,1,7,0.0,0.0,0.24,0.5576432389641515
46,1,7,2.0,0.48,0.26,0.042951737783626376
47,1,9,1.0,0.8,1.0,0.6735841552371565
48,1,9,2.0,0.74,0.42,0.015853056700096246
49,1,12,0.0,0.16,0.1,0.9312186984906012
50,1,16,0.0,0.0,1.0,0.00990099157789989
51,1,17,1.0,1.0,0.2,0.00994586732240386
52,1,19,1.0,0.46,0.8200000000000001,0.02803747012331017
53,1,23,2.0,0.8200000000000001,0.0,0.009926393971022324
54,1,25,3.0,0.4,1.0,0.015362803068544288
55,1,26,1.0,1.0,0.64,0.21962750953120955
56,1,31,0.0,0.16,0.5,0.047456495788956735
57,2,1,0.0,0.3,0.44,0.0539827155916584
58,2,1,1.0,0.0,0.0,0.673584155232106
59,2,1,2.0,0.34,0.54,0.01655386274705132
60,2,1,3.0,0.0,0.32,0.31781009255679465
61,2,2,0.0,1.0,0.0,0.00990099157789989
62,2,2,1.0,0.8,0.0,0.00994586732240386
63,2,2,3.0,0.0,1.0,0.00990099157789989
64,2,3,0.0,1.0,0.58,0.11446544680006275
65,2,3,1.0,0.4,0.0,0.1438961927689655
66,2,3,2.0,1.0,1.0,0.6735841552321062
67,2,3,3.0,0.36,1.0,0.012277784771448438
68,2,4,0.0,0.68,0.38,0.011832951315552105
69,2,4,1.0,0.46,0.22,0.06548180849108745
70,2,4,2.0,0.68,0.78,0.2918722012856106
71,2,4,3.0,0.0,0.66,0.011431693414498158
72,2,5,0.0,1.0,0.28,0.010272394197649252
73,2,7,2.0,0.68,1.0,0.3178100925567947
74,2,7,3.0,0.2,0.8200000000000001,0.009974619929672359
75,2,9,0.0,0.46,0.8200000000000001,0.02803747012331017
76,2,11,1.0,0.2,0.14,0.7949961315892355
77,2,16,0.0,0.76,0.2,0.01007136788542735
78,2,16,2.0,1.0,0.8,0.6735841552371565
79,2,17,0.0,0.8200000000000001,0.58,0.12227206258614873
80,2,18,3.0,0.14,0.54,0.029863048679369744
81,2,19,0.0,0.58,0.58,0.026473651111051925
82,2,20,1.0,0.6,0.0,0.015362803068544288
83,2,20,3.0,0.0,0.84,0.009915131611182898
84,2,42,2.0,0.86,0.94,0.9386188022477174
85,3,1,0.0,0.0,0.14,0.7949961310621263
86,3,1,1.0,0.0,0.0,0.673584155232106
87,3,1,2.0,0.0,0.86,0.00990872616035144
88,3,1,3.0,0.0,0.56,0.02167380795483685
89,3,2,0.0,0.96,0.42,0.019088034138779453
90,3,2,1.0,1.0,0.0,0.00990099157789989
91,3,2,2.0,1.0,1.0,0.6735841552321062
92,3,2,3.0,1.0,0.58,0.11446544680006275
93,3,3,0.0,0.46,0.36,0.029140068952988363
94,3,3,1.0,0.5,0.0,0.042943692401363975
95,3,3,2.0,0.48,1.0,0.03370369195277875
96,3,4,1.0,0.74,0.18,0.010160670933633823
97,3,4,3.0,0.64,0.68,0.10720491142384116
98,3,5,3.0,0.3,0.7000000000000001,0.010565124733177295
99,3,7,1.0,0.26,0.12,0.5985351374603773
100,3,8,0.0,0.2,0.4,0.1438965620849914
101,3,8,1.0,0.26,0.42,0.08644293404714798
102,3,9,1.0,0.76,0.0,0.010034331625259546
103,3,9,3.0,0.2,1.0,0.00994586732240386
104,3,11,0.0,0.18,0.0,0.7231316613186033
105,3,11,2.0,0.76,1.0,0.5576432389641515
106,3,13,3.0,0.74,0.46,0.02227320620552096
107,3,15,2.0,0.88,0.8,0.8140663454872241
108,3,17,1.0,0.44,0.52,0.013581644115561895
109,3,17,2.0,0.04,1.0,0.009901232395351187
110,3,30,3.0,1.0,0.2,0.00994586732240386
111,3,31,0.0,0.0,0.36,0.21962750953120955
112,3,38,2.0,0.48,0.8200000000000001,0.03548242892252111
113,3,46,2.0,1.0,0.8200000000000001,0.7231316613186034
114,4,1,0.0,0.52,0.0,0.033703691952778746
115,4,1,1.0,0.0,0.0,0.673584155232106
116,4,1,2.0,0.0,1.0,0.00990099157789989
117,4,1,3.0,0.0,0.06,0.7949961310613167
118,4,2,0.0,1.0,0.54,0.07059243162992812
119,4,2,1.0,0.48,0.4,0.01921067348337364
120,4,2,2.0,1.0,1.0,0.6735841552321062
121,4,3,1.0,0.2,0.3,0.3741380080640501
122,4,3,2.0,0.5,1.0,0.042943692401363975
123,4,4,0.0,1.0,0.02,0.009901074684316622
124,4,4,1.0,1.0,0.0,0.00990099157789989
125,4,4,2.0,0.9,0.14,0.009913011131692894
126,4,4,3.0,0.0,0.62,0.013532939804683355
