X,Y,f_H
0.0,0.0,0.673584155232106
0.0,0.02,0.7231316613157539
0.0,0.04,0.7642121044662616
0.0,0.06,0.7949961310613167
0.0,0.08,0.8140663452021898
0.0,0.1,0.8205254712819897
0.0,0.12,0.8140663452025318
0.0,0.14,0.7949961310621263
0.0,0.16,0.7642121044678257
0.0,0.18,0.7231316613186033
0.0,0.2,0.6735841552371563
0.0,0.22,0.6176760548179082
0.0,0.24,0.5576432389641515
0.0,0.26,0.49570476795878127
0.0,0.28,0.43393121965272513
0.0,0.3,0.374137967142668
0.0,0.32,0.31781009255679465
0.0,0.34,0.266061571983096
0.0,0.36,0.21962750953120955
0.0,0.38,0.1788850220067227
0.0,0.4,0.1438961927689655
0.0,0.42,0.11446544680006289
0.0,0.44,0.09020369234436297
0.0,0.46,0.07059243162992812
0.0,0.48,0.055042484671396025
0.0,0.5,0.042943692401363975
0.0,0.52,0.033703691952778746
0.0,0.54,0.026775374189042026
0.0,0.56,0.021673807954836852
0.0,0.58,0.017984193517313216
0.0,0.6,0.015362803068544288
0.0,0.62,0.013532939804683355
0.0,0.64,0.012277784771448438
0.0,0.66,0.011431693414498158
0.0,0.68,0.010871133262801782
0.0,0.7000000000000001,0.01050608403594439
0.0,0.72,0.010272394197649252
0.0,0.74,0.010125326091911706
0.0,0.76,0.010034331625259546
0.0,0.78,0.009978977047726397
0.0,0.8,0.009945867322403861
0.0,0.8200000000000001,0.009926393971022325
0.0,0.84,0.009915131611182898
0.0,0.86,0.00990872616035144
0.0,0.88,0.009905143110828381
0.0,0.9,0.009903171376491157
0.0,0.92,0.009902103350805753
0.0,0.9400000000000001,0.009901533190679906
0.0,0.96,0.009901232395351189
0.0,0.98,0.009901074684316622
0.0,1.0,0.00990099157789989
0.02,0.0,0.7231316613157539
0.02,0.02,0.7763781535135887
0.02,0.04,0.820525471281808
0.02,0.06,0.8536076899740188
0.02,0.08,0.8741015975130111
0.02,0.1,0.8810429318727656
0.02,0.12,0.8741015975137082
0.02,0.14,0.8536076899756685
0.02,0.16,0.8205254712849959
0.02,0.18,0.7763781535193958
0.02,0.2,0.7231316613260463
0.02,0.22,0.6630497224376353
0.02,0.24,0.598535136067199
0.02,0.26,0.5319726272080024
0.02,0.28,0.46558735341506047
0.02,0.3,0.40133021509150735
0.02,0.32,0.3407971636876207
0.02,0.34,0.28518533956647424
0.02,0.36,0.23528472629769304
0.02,0.38,0.191500594485131
0.02,0.4,0.15389966236062833
0.02,0.42,0.12227175420956696
0.02,0.44,0.09619873052740326
0.02,0.46,0.07512338494990532
0.02,0.48,0.058412552102159544
0.02,0.5,0.045410521334227544
0.02,0.52,0.03548070678472169
0.02,0.54,0.028035154760432862
0.02,0.56,0.022552731469948458
0.02,0.58,0.018587670227522245
0.02,0.6,0.01577058216367645
0.02,0.62,0.013804113621656107
0.02,0.64,0.012455258974751464
0.02,0.66,0.011546007410693587
0.02,0.68,0.010943604058437912
0.02,0.7000000000000001,0.010551308062864433
0.02,0.72,0.010300178511909194
0.02,0.74,0.010142137683457331
0.02,0.76,0.01004435670879015
0.02,0.78,0.009984876124820604
