,X,Y,f_H
0,0.0,0.0,0.9104536202640267
1,0.0,0.02,0.9254452962326546
2,0.0,0.04,0.9374498440154391
3,0.0,0.06,0.9461797721203226
4,0.0,0.08,0.9514168496520102
5,0.0,0.1,0.953019657555843
6,0.0,0.12,0.9509279900075883
7,0.0,0.14,0.9451638297211784
8,0.0,0.16,0.9358288113539526
9,0.0,0.18,0.9230982861897329
10,0.0,0.2,0.9072122953005948
11,0.0,0.22,0.8884639342659912
12,0.0,0.24,0.8671857385821794
13,0.0,0.26,0.8437348258334012
14,0.0,0.28,0.8184775922721355
15,0.0,0.3,0.7917747748208912
16,0.0,0.32,0.7639676552447346
17,0.0,0.34,0.7353661050946785
18,0.0,0.36,0.7062390543712065
19,0.0,0.38,0.6768078220385381
20,0.0,0.4,0.6472425820443278
21,0.0,0.42,0.6176620642871805
22,0.0,0.44,0.5881364156760349
23,0.0,0.46,0.5586929808821525
24,0.0,0.48,0.5293246132600924
25,0.0,0.5,0.5
26,0.0,0.52,0.4706753867399076
27,0.0,0.54,0.44130701911784753
28,0.0,0.56,0.4118635843239651
29,0.0,0.58,0.38233793571281954
30,0.0,0.6,0.352757417955672
31,0.0,0.62,0.3231921779614619
32,0.0,0.64,0.2937609456287935
33,0.0,0.66,0.26463389490532147
34,0.0,0.68,0.2360323447552653
35,0.0,0.7000000000000001,0.2082252251791087
36,0.0,0.72,0.18152240772786468
37,0.0,0.74,0.1562651741665987
38,0.0,0.76,0.13281426141782068
39,0.0,0.78,0.1115360657340088
40,0.0,0.8,0.0927877046994051
41,0.0,0.8200000000000001,0.0769017138102671
42,0.0,0.84,0.06417118864604737
43,0.0,0.86,0.05483617027882169
44,0.0,0.88,0.04907200999241173
45,0.0,0.9,0.046980342444157046
46,0.0,0.92,0.04858315034798973
47,0.0,0.9400000000000001,0.053820227879677385
48,0.0,0.96,0.0625501559845609
49,0.0,0.98,0.0745547037673454
50,0.0,1.0,0.08954637973597337
51,0.02,0.0,0.9254452962326546
52,0.02,0.02,0.9409845379608531
53,0.02,0.04,0.9534275476833658
54,0.02,0.06,0.9624763333812064
55,0.02,0.08,0.9679046933513997
56,0.02,0.1,0.9695660432574172
57,0.02,0.12,0.9673979782781996
58,0.02,0.14,0.9614232840386735
59,0.02,0.16,0.9517473073667492
60,0.02,0.18,0.938551804191007
61,0.02,0.2,0.9220855830003375
62,0.02,0.22,0.9026524445884682
63,0.02,0.24,0.8805970701951993
