,SimNum,Iteration,Period,Fidelity,Agent,X,Y,XMax,YMax,VarMax,Var0,XCentroid,YCentroid,ProbExplore,Explore,Distance
0,0,0,0,S,0,0.5033863926630491,0.3694437086576784,0.4,0.3694437086576784,0.030695918380595176,0.030695918380595176,0.5058394160583944,0.3521167883211679,0.25,0.0,0.0
1,0,0,0,S,1,0.40047342262362995,0.6952595732959955,0.32,0.6952595732959955,0.030695918380595176,0.030695918380595176,0.4904398826979464,0.7845747800586514,0.25,0.0,0.0
2,0,0,0,S,2,0.5643969576908818,0.06555078306054485,0.28,0.06555078306054485,0.030695918380595176,0.030695918380595176,0.5392233009708738,0.08553398058252434,0.25,0.0,0.0
3,0,0,0,S,3,0.32967988200346143,0.406785663401113,0.2,0.406785663401113,0.030695918380595176,0.030695918380595176,0.32247787610619466,0.4454867256637167,0.25,0.0,0.0
4,0,0,0,S,4,0.6966536434598986,0.4095525647455366,0.62,0.4095525647455366,0.030695918380595176,0.030695918380595176,0.7430612244897956,0.40204081632653055,0.25,0.0,0.0
5,0,0,0,S,5,0.23247253860775852,0.6785307283751344,0.16,0.6785307283751344,0.030695918380595176,0.030695918380595176,0.24273972602739713,0.6276712328767124,0.25,0.0,0.0
6,0,0,0,S,6,0.6646796056428913,0.4705176039009161,0.52,0.4705176039009161,0.030695918380595176,0.030695918380595176,0.6981280788177343,0.5803940886699507,0.25,0.0,0.0
7,0,0,0,S,7,0.13766748228198478,0.8236243502442765,0.0,0.8236243502442765,0.030695918380595176,0.030695918380595176,0.13238636363636352,0.8967045454545454,0.25,0.0,0.0
8,0,0,0,S,8,0.9692514973929026,0.3074176902698865,0.86,0.3074176902698865,0.030695918380595176,0.030695918380595176,0.9496774193548384,0.34270967741935493,0.25,0.0,0.0
9,0,0,0,S,9,0.07060853862274608,0.6343254977051115,0.0,0.6343254977051115,0.030695918380595176,0.030695918380595176,0.07499999999999991,0.6249999999999999,0.25,0.0,0.0
10,0,0,0,S,10,0.025865009461905508,0.3268880427338666,0.0,0.3268880427338666,0.030695918380595176,0.030695918380595176,0.05666666666666655,0.1855555555555556,0.25,0.0,0.0
11,0,0,0,S,11,0.265898201327885,0.29289024383109363,0.12,0.29289024383109363,0.030695918380595176,0.030695918380595176,0.24986666666666668,0.18337777777777786,0.25,0.0,0.0
12,0,0,0,S,12,0.06258789381074481,0.40947792659228466,0.0,0.40947792659228466,0.030695918380595176,0.030695918380595176,0.09097560975609748,0.4392682926829267,0.25,0.0,0.0
13,0,0,0,S,13,0.996599214687224,0.8621043256479453,0.64,0.8621043256479453,0.030695918380595176,0.030695918380595176,0.8574744027303762,0.8350170648464168,0.25,0.0,0.0
14,0,0,0,S,14,0.8024625787646908,0.24301544042004664,0.64,0.24301544042004664,0.030695918380595176,0.030695918380595176,0.8151000000000003,0.16650000000000006,0.25,0.0,0.0
15,0,0,0,S,15,0.21071842761489878,0.7557495553295905,0.12,0.7557495553295905,0.030695918380595176,0.030695918380595176,0.26790123456790127,0.8229629629629629,0.25,0.0,0.0
16,0,1,0,S,0,0.5058394160583944,0.3521167883211679,0.38,0.3521167883211679,0.030651485446429528,0.030695918380595176,0.508227784891672,0.3529663654708151,0.25,0.0,0.017499699772450188
17,0,1,0,S,1,0.32,0.66,0.64,0.66,0.030695918345112795,0.030695918380595176,0.518088080465423,0.8204019288426162,0.25,1.0,0.08785903059889195
18,0,1,0,S,2,0.5392233009708738,0.08553398058252434,0.36,0.08553398058252434,0.030695911271239638,0.030695918380595176,0.5338411332802517,0.09358541538741469,0.25,0.0,0.032140957917573855
19,0,1,0,S,3,0.32247787610619466,0.4454867256637167,0.22,0.4454867256637167,0.030695538071730904,0.030695918380595176,0.3359015833933837,0.44653618027357994,0.25,0.0,0.039365481188449805
20,0,1,0,S,4,0.62,0.3,0.88,0.3,0.030695644734949318,0.030695918380595176,0.7487157169095366,0.3994631726917022,0.25,1.0,0.13370693885510293
21,0,1,0,S,5,0.24273972602739713,0.6276712328767124,0.16,0.6276712328767124,0.030368071400741856,0.030695918380595176,0.26475166116504,0.6266354398710622,0.25,0.0,0.05188548371041738
22,0,1,0,S,6,0.6981280788177343,0.5803940886699507,0.94,0.5803940886699507,0.030695918045153477,0.030695918380595176,0.7049874062243947,0.6016356256042176,0.25,0.0,0.11485487478957118
23,0,1,0,S,7,0.0,0.78,0.26,0.78,0.03069543874727866,0.030695918380595176,0.11441751916933506,0.9089920849481112,0.25,1.0,0.14441405614446226
24,0,1,0,S,8,0.9496774193548384,0.34270967741935493,1.0,0.34270967741935493,0.030695918372180934,0.030695918380595176,0.9405077827296632,0.3896095649107432,0.25,0.0,0.04035677003921983
25,0,1,0,S,9,0.07499999999999991,0.6249999999999999,0.06,0.6249999999999999,0.030657007127931218,0.030695918380595176,0.0713366755878627,0.6381151947760867,0.25,0.0,0.010307756325988397
26,0,1,0,S,10,0.05666666666666655,0.1855555555555556,0.0,0.1855555555555556,0.030695918380595176,0.030695918380595176,0.06945706528958535,0.15131647513161695,0.25,0.0,0.14464997068291113
27,0,1,0,S,11,0.24986666666666668,0.18337777777777786,0.16,0.18337777777777786,0.030695918380572052,0.030695918380595176,0.2658465539889664,0.15564878847221272,0.25,0.0,0.11067967439721027
28,0,1,0,S,12,0.09097560975609748,0.4392682926829267,0.02,0.4392682926829267,0.030695918215410862,0.030695918380595176,0.09900282447781597,0.4203462461299038,0.25,0.0,0.041150070818997464
29,0,1,0,S,13,0.8574744027303762,0.8350170648464168,0.88,0.8350170648464168,0.030695918380595176,0.030695918380595176,0.852604579452828,0.8386310140239983,0.25,0.0,0.1417371969518174
30,0,1,0,S,14,0.8151000000000003,0.16650000000000006,1.0,0.16650000000000006,0.030695918372180934,0.030695918380595176,0.8357403242173294,0.12538945956302108,0.25,0.0,0.07755202794351897
31,0,1,0,S,15,0.26790123456790127,0.8229629629629629,0.4,0.8229629629629629,0.03069575667469385,0.030695918380595176,0.2972902655848701,0.8582511618310978,0.25,0.0,0.08824690123009547
32,0,2,0,S,0,0.508227784891672,0.3529663654708151,0.54,0.3529663654708151,0.03061831389896315,0.030695918380595176,0.5100586448313402,0.3543927926308627,0.24981899456205758,0.0,0.0025349727842669616
33,0,2,0,S,1,0.64,1.0,0.62,1.0,0.03068615698463048,0.030695918380595176,0.5346682488977204,0.8282840651140104,0.24999999985550855,1.0,0.46690470119715005
34,0,2,0,S,2,0.5338411332802517,0.09358541538741469,0.38,0.09358541538741469,0.030695871312394072,0.030695918380595176,0.5389312926849632,0.09956959244665642,0.24999997104926192,0.0,0.009684695734372637
35,0,2,0,S,3,0.22,0.34,0.46,0.34,0.030568158837665112,0.030695918380595176,0.3347677784177206,0.4363750859727815,0.2499984513004403,1.0,0.1470685703421666
