,SimNum,Iteration,Period,Fidelity,Loss
0,0,0,0,S,0.11766603249335825
1,0,1,0,S,0.05207283818984648
2,0,2,0,S,0.039806482583572694
3,0,3,0,S,0.038786855088095984
4,0,4,0,S,0.03750241496271557
5,0,5,0,S,0.06489603910663504
6,0,6,0,S,0.06318676712264013
7,0,7,0,S,0.06122760997720259
8,0,8,1,S,0.060745672173868226
9,0,9,1,S,0.031748668852647155
10,0,10,1,S,0.027159173266293326
11,0,11,1,S,0.03809912468374181
12,0,12,1,S,0.027800128591380126
13,0,13,1,S,0.02362658578401554
14,0,14,1,S,0.035480394282207214
15,0,15,1,S,0.04754502661205903
16,0,16,1,S,0.036570393219225825
17,0,17,1,S,0.026842168582189112
18,0,18,1,S,0.028877504869643918
19,0,19,1,S,0.031340814350570595
20,0,20,1,S,0.033099859114730665
21,0,21,1,S,0.03812638722149786
22,0,22,1,S,0.029526772000811823
23,0,23,1,S,0.027884259796906043
24,0,24,2,S,0.01775538931705549
25,0,25,2,S,0.02735573533846082
26,0,26,2,S,0.03065956876060441
27,0,27,2,S,0.036637212256842515
28,0,28,2,S,0.029277821777867242
29,0,29,2,S,0.032500938773941626
30,0,30,2,S,0.029338303839414482
31,0,31,2,S,0.04247613073255657
32,0,32,2,S,0.02398691318899788
33,0,33,2,S,0.02385281671802214
34,0,34,2,S,0.030881669725783545
35,0,35,2,S,0.024084756937365046
36,0,36,2,S,0.025276698434190743
37,0,37,2,S,0.01655424842701299
38,0,38,2,S,0.024557736005401877
39,0,39,2,S,0.01991591483398557
40,0,40,2,S,0.01749624698163983
41,0,41,2,S,0.017836809210537864
42,0,42,2,S,0.02178263685578363
43,0,43,2,S,0.018589150308987806
44,0,44,2,S,0.020074939854409637
45,0,45,2,S,0.016575354025708807
46,0,46,2,S,0.014391177603188497
47,0,47,2,S,0.013494358615053742
48,0,48,2,S,0.013380617715054596
49,0,49,2,S,0.013171038473456147
50,0,50,2,S,0.0125879014374158
51,0,51,2,S,0.012587369353657911
52,0,52,2,S,0.012580012254842045
53,0,53,2,S,0.012577693902431589
54,0,54,2,S,0.012583314557869419
55,0,55,2,S,0.012583314557869419
56,0,56,3,S,0.012583314557869419
57,0,57,3,S,0.025103531010027907
58,0,58,3,S,0.022474401118727613
59,0,59,3,S,0.02215498653402953
60,0,60,3,S,0.03141866572124926
61,0,61,3,S,0.02642558534638342
62,0,62,3,S,0.0217970270354807
63,0,63,3,S,0.026593504136051382
64,0,64,3,S,0.03074749592859961
65,0,65,3,S,0.020285822958963445
66,0,66,3,S,0.01997798468687438
67,0,67,3,S,0.020465701951056806
68,0,68,3,S,0.03829836350355249
69,0,69,3,S,0.032736215598085164
70,0,70,3,S,0.03187282624107924
71,0,71,3,S,0.038178654102294214
72,0,72,3,S,0.034493850832729545
73,0,73,3,S,0.0239298778630387
74,0,74,3,S,0.03636301146269136
75,0,75,3,S,0.028806888949165287
76,0,76,3,S,0.02723519815716368
77,0,77,3,S,0.023856556575579196
78,0,78,3,S,0.0408340287357786
79,0,79,3,S,0.02247909298742167
80,0,80,3,S,0.029256877216606046
81,0,81,3,S,0.017116933256979324
82,0,82,3,S,0.028488817845537754
83,0,83,3,S,0.02728162474928405
84,0,84,3,S,0.02553914039590094
85,0,85,3,S,0.01595580550233788
86,0,86,3,S,0.02696506161498923
87,0,87,3,S,0.03595714586121562
88,0,88,3,S,0.03257458894566463
89,0,89,3,S,0.024229384754465864
90,0,90,3,S,0.03356739205356515
91,0,91,3,S,0.021955252059606193
92,0,92,3,S,0.02295621409564456
93,0,93,3,S,0.01719758231723393
94,0,94,3,S,0.017790081636175424
95,0,95,3,S,0.020517372167393466
96,0,96,3,S,0.02500118226702256
97,0,97,3,S,0.03798162751916377
98,0,98,3,S,0.024644295730487913
99,0,99,3,S,0.048090853611078795
100,0,100,3,S,0.029503056951942146
101,0,101,3,S,0.037045521323991595
102,0,102,3,S,0.026021231613803524
103,0,103,3,S,0.01930217381731123
104,0,104,3,S,0.033604726999516915
105,0,105,3,S,0.0288276918079068
106,0,106,3,S,0.024977686688938336
107,0,107,3,S,0.032296037635467394
108,0,108,3,S,0.01849993639757838
109,0,109,3,S,0.02433972501182983
110,0,110,3,S,0.021005855604525246
111,0,111,3,S,0.03302511463482044
112,0,112,3,S,0.02146369398011539
113,0,113,3,S,0.035015759661415936
114,0,114,3,S,0.02368161339455157
115,0,115,3,S,0.029963670322884203
116,0,116,3,S,0.02665008340057243
117,0,117,3,S,0.01915360783052608
118,0,118,3,S,0.037352195996141806
119,0,119,3,S,0.02578153062420236
120,1,0,0,S,0.016514528636722904
121,1,1,0,S,0.03235695992388911
122,1,2,0,S,0.020629130084322003
123,1,3,0,S,0.019950285989079677
124,1,4,0,S,0.025736682034928387
125,1,5,0,S,0.03190933133740694
126,1,6,0,S,0.023183350661610265
127,1,7,0,S,0.019588692523251388
128,1,8,1,S,0.01944992193506004
129,1,9,1,S,0.019486251508113738
130,1,10,1,S,0.02166573011430005
131,1,11,1,S,0.021765531303617046
132,1,12,1,S,0.021856376597346305
133,1,13,1,S,0.012430510300661939
134,1,14,1,S,0.012432379504961186
135,1,15,1,S,0.012436156359370983
136,1,16,1,S,0.012440521720265916
137,1,17,1,S,0.01243654563343981
138,1,18,1,S,0.012442261820551201
139,1,19,1,S,0.01244299779624819
140,1,20,1,S,0.012445837583692252
141,1,21,1,S,0.012448573714980558
142,1,22,1,S,0.012445837583692254
143,1,23,1,S,0.012448573714980555
144,1,24,2,S,0.012445837583692252
145,1,25,2,S,0.03769170378794831
146,1,26,2,S,0.022626418658289987
147,1,27,2,S,0.025933387472581493
148,1,28,2,S,0.023021458178821615
149,1,29,2,S,0.028977822334224655
150,1,30,2,S,0.026572510727896535
151,1,31,2,S,0.025015435512434812
152,1,32,2,S,0.041609292421437315
153,1,33,2,S,0.030871720412371555
154,1,34,2,S,0.02196579150324624
155,1,35,2,S,0.025715753860727712
156,1,36,2,S,0.019333864660263135
157,1,37,2,S,0.02645436317412251
158,1,38,2,S,0.029602187296207123
159,1,39,2,S,0.04127101324233813
160,1,40,2,S,0.03010814196572996
161,1,41,2,S,0.029962623417641825
162,1,42,2,S,0.030233107226249663
163,1,43,2,S,0.031092253671618546
164,1,44,2,S,0.020542806613359808
165,1,45,2,S,0.02656110075276514
166,1,46,2,S,0.015517148507726947
167,1,47,2,S,0.030210551411093054
168,1,48,2,S,0.03186944982761969
169,1,49,2,S,0.026137066727827393
170,1,50,2,S,0.021048779977400466
171,1,51,2,S,0.01906907178508442
172,1,52,2,S,0.01605598029848331
173,1,53,2,S,0.023830982693722354
174,1,54,2,S,0.022908564847250307
175,1,55,2,S,0.02098376377974103
176,1,56,3,S,0.016350744007622098
177,1,57,3,S,0.027761053316926344
178,1,58,3,S,0.023858319410781967
179,1,59,3,S,0.02076008323566892
180,1,60,3,S,0.023511622342775047
181,1,61,3,S,0.021072333767088603
182,1,62,3,S,0.04139910706058083
183,1,63,3,S,0.02532357487302241
184,1,64,3,S,0.021387431579413516
185,1,65,3,S,0.024588816710578658
186,1,66,3,S,0.02916176555079975
187,1,67,3,S,0.031643699979246764
188,1,68,3,S,0.02695694984054793
189,1,69,3,S,0.017847884434190716
190,1,70,3,S,0.024176888479303205
191,1,71,3,S,0.02617029301708896
192,1,72,3,S,0.029317632402756956
193,1,73,3,S,0.027179717846803047
194,1,74,3,S,0.023242720081390434
195,1,75,3,S,0.018283164353786206
196,1,76,3,S,0.027439555411571982
197,1,77,3,S,0.020794075691223865
198,1,78,3,S,0.018179216726745665
199,1,79,3,S,0.014795884416107491
200,1,80,3,S,0.018169419397177783
201,1,81,3,S,0.015453798519813506
202,1,82,3,S,0.016333102936497975
203,1,83,3,S,0.019550150369389667
204,1,84,3,S,0.01826972667344151
205,1,85,3,S,0.020718403120727293
206,1,86,3,S,0.021324607947748125
207,1,87,3,S,0.017836585521135213
208,1,88,3,S,0.015521547682885032
209,1,89,3,S,0.015763425250972355
210,1,90,3,S,0.016983817877628135
211,1,91,3,S,0.019774431528519324
212,1,92,3,S,0.020612495785437245
213,1,93,3,S,0.025773150775149505
214,1,94,3,S,0.03146372441669235
215,1,95,3,S,0.02279635983596138
216,1,96,3,S,0.01308021980014643
217,1,97,3,S,0.017372410143492747
218,1,98,3,S,0.02070411978812801
219,1,99,3,S,0.016918249458977623
220,1,100,3,S,0.011953238773822298
221,1,101,3,S,0.01330551332798408
222,1,102,3,S,0.017217857274616014
223,1,103,3,S,0.015315790976657147
224,1,104,3,S,0.013124887369531829
225,1,105,3,S,0.013315299325111865
226,1,106,3,S,0.013199849358045546
227,1,107,3,S,0.01244652569355919
228,1,108,3,S,0.01389189087372232
229,1,109,3,S,0.013917917587037686
230,1,110,3,S,0.02071915384035893
231,1,111,3,S,0.02094000084195824
232,1,112,3,S,0.01766872704022162
233,1,113,3,S,0.01757309453277284
234,1,114,3,S,0.01697051114876092
235,1,115,3,S,0.011985576858762326
236,1,116,3,S,0.013465751312163843
237,1,117,3,S,0.013317672102997788
238,1,118,3,S,0.013317700255146954
239,1,119,3,S,0.014617652691393826
240,2,0,0,S,0.041881932249612674
241,2,1,0,S,0.05281032694125328
242,2,2,0,S,0.0321449750417649
243,2,3,0,S,0.037024511614124206
244,2,4,0,S,0.04158333646804052
245,2,5,0,S,0.04078070405145401
246,2,6,0,S,0.028517533079481825
247,2,7,0,S,0.029013199381489472
248,2,8,1,S,0.012863410458135403
249,2,9,1,S,0.02974977116133068
250,2,10,1,S,0.03848399499854027
251,2,11,1,S,0.030141247550993847
252,2,12,1,S,0.021614265819484984
253,2,13,1,S,0.02172044205949925
254,2,14,1,S,0.022590727976273837
255,2,15,1,S,0.020071260380419027
256,2,16,1,S,0.029227385719733052
257,2,17,1,S,0.024659843936899573
258,2,18,1,S,0.023930888072303945
259,2,19,1,S,0.026585866073080413
260,2,20,1,S,0.028410753415807576
261,2,21,1,S,0.03206722708145147
262,2,22,1,S,0.023426577996768568
263,2,23,1,S,0.033705749570922955
264,2,24,2,S,0.040127670523837755
265,2,25,2,S,0.03071672166317548
266,2,26,2,S,0.023127745463374278
267,2,27,2,S,0.042766434040870736
268,2,28,2,S,0.030022701255031453
269,2,29,2,S,0.037165667789045134
270,2,30,2,S,0.022492376587562837
271,2,31,2,S,0.024400748358052927
272,2,32,2,S,0.026902291035036115
273,2,33,2,S,0.020301158489691405
274,2,34,2,S,0.03357997331478045
275,2,35,2,S,0.03387809128813757
276,2,36,2,S,0.026151337079602835
277,2,37,2,S,0.0428610331996219
278,2,38,2,S,0.031760981379950134
279,2,39,2,S,0.04071888556754649
280,2,40,2,S,0.042861126274712946
281,2,41,2,S,0.0338293410129925
282,2,42,2,S,0.0304868334193018
283,2,43,2,S,0.021589209993171984
284,2,44,2,S,0.01774862865283645
285,2,45,2,S,0.017820656193503467
286,2,46,2,S,0.02488857562802363
287,2,47,2,S,0.03436129905595833
288,2,48,2,S,0.015333804240721883
289,2,49,2,S,0.013175743647111368
290,2,50,2,S,0.013468697482344236
291,2,51,2,S,0.013468374058033358
292,2,52,2,S,0.013464467916343955
293,2,53,2,S,0.013127959961143517
294,2,54,2,S,0.013279865697636836
295,2,55,2,S,0.012626802083041806
296,2,56,3,S,0.0126246948363939
297,2,57,3,S,0.020012488038772015
298,2,58,3,S,0.022267956790453017
299,2,59,3,S,0.025847212880884304
300,2,60,3,S,0.02085523278030446
301,2,61,3,S,0.019606924151884426
302,2,62,3,S,0.019317543690048213
303,2,63,3,S,0.02278155959679848
304,2,64,3,S,0.019539258564471175
305,2,65,3,S,0.03336308802110169
306,2,66,3,S,0.04938431319818934
307,2,67,3,S,0.02396817219298989
308,2,68,3,S,0.02846697525156964
309,2,69,3,S,0.029181465156012554
310,2,70,3,S,0.029550364904788927
311,2,71,3,S,0.022340163610186342
312,2,72,3,S,0.02222281313600703
313,2,73,3,S,0.03502287241982495
314,2,74,3,S,0.034487163643724825
315,2,75,3,S,0.024689938234384784
316,2,76,3,S,0.024583012727812024
317,2,77,3,S,0.02260704175728142
318,2,78,3,S,0.01954213144446902
319,2,79,3,S,0.029429438191510365
320,2,80,3,S,0.030408754785225218
321,2,81,3,S,0.024504703623586244
322,2,82,3,S,0.021130048426098162
323,2,83,3,S,0.028651429795618
324,2,84,3,S,0.038935501493974164
325,2,85,3,S,0.03181285838918787
326,2,86,3,S,0.023985224976381954
327,2,87,3,S,0.03585982124077338
328,2,88,3,S,0.02487094107792275
329,2,89,3,S,0.024489694719661205
330,2,90,3,S,0.03219110757900155
331,2,91,3,S,0.019340741719273954
332,2,92,3,S,0.018331901047861275
333,2,93,3,S,0.026698714045789582
334,2,94,3,S,0.023188235768907155
335,2,95,3,S,0.027476660645220478
336,2,96,3,S,0.026618164967558876
337,2,97,3,S,0.020507193438254516
338,2,98,3,S,0.018247475587366585
339,2,99,3,S,0.03325063591863058
340,2,100,3,S,0.02755443806578721
341,2,101,3,S,0.02356774540014115
342,2,102,3,S,0.02793396009911529
343,2,103,3,S,0.03112493483360432
344,2,104,3,S,0.028084407825284912
345,2,105,3,S,0.025322244044928176
346,2,106,3,S,0.030745594765723645
347,2,107,3,S,0.04174543086964411
348,2,108,3,S,0.03428005320518384
349,2,109,3,S,0.041997707124125094
350,2,110,3,S,0.026444848461166813
351,2,111,3,S,0.03413956329586054
352,2,112,3,S,0.028469661647391533
353,2,113,3,S,0.01854505378586665
354,2,114,3,S,0.017903213939826232
355,2,115,3,S,0.026601428890856114
356,2,116,3,S,0.024284375692748026
357,2,117,3,S,0.025279885955179243
358,2,118,3,S,0.028119056158067184
359,2,119,3,S,0.024174817643997894
360,3,0,0,S,0.0384437794955642
361,3,1,0,S,0.05010265753524585
362,3,2,0,S,0.02729756609735553
363,3,3,0,S,0.023478170721979892
364,3,4,0,S,0.025451861549493637
365,3,5,0,S,0.025928595289326242
366,3,6,0,S,0.01976212077744263
367,3,7,0,S,0.015316761565533906
368,3,8,1,S,0.01958118654493879
369,3,9,1,S,0.0195711772488825
370,3,10,1,S,0.021714814115961316
371,3,11,1,S,0.021845024713170947
372,3,12,1,S,0.021921074751446105
373,3,13,1,S,0.012436156359370973
374,3,14,1,S,0.012440521720265902
375,3,15,1,S,0.012436545633439797
376,3,16,1,S,0.012442261820551189
377,3,17,1,S,0.012442997796248181
378,3,18,1,S,0.012445837583692242
379,3,19,1,S,0.012448573714980548
380,3,20,1,S,0.01244583758369224
381,3,21,1,S,0.012448573714980544
382,3,22,1,S,0.012445837583692242
383,3,23,1,S,0.012448573714980548
384,3,24,2,S,0.01244583758369224
385,3,25,2,S,0.03769170378794831
386,3,26,2,S,0.022638956884830377
387,3,27,2,S,0.025933387472581493
388,3,28,2,S,0.023021458178821615
389,3,29,2,S,0.028977822334224655
390,3,30,2,S,0.02657251072789654
391,3,31,2,S,0.025015435512434812
392,3,32,2,S,0.04160929242143731
393,3,33,2,S,0.03087172041237156
394,3,34,2,S,0.021957365417202373
395,3,35,2,S,0.025715753860727716
396,3,36,2,S,0.019329021727750258
397,3,37,2,S,0.026454363174122506
398,3,38,2,S,0.029602187296207123
399,3,39,2,S,0.041271013242338124
400,3,40,2,S,0.03010814196572996
401,3,41,2,S,0.029962623417641825
402,3,42,2,S,0.030233107226249663
403,3,43,2,S,0.03109225367161856
404,3,44,2,S,0.0205428066133598
405,3,45,2,S,0.026576235155934137
406,3,46,2,S,0.01551714850772695
407,3,47,2,S,0.0302045705384658
408,3,48,2,S,0.03186944982761969
409,3,49,2,S,0.02613706672782739
410,3,50,2,S,0.02104877997740046
411,3,51,2,S,0.01906907178508442
412,3,52,2,S,0.016055980298483312
413,3,53,2,S,0.023830982693722372
414,3,54,2,S,0.02290856484725033
415,3,55,2,S,0.02098376377974103
416,3,56,3,S,0.016350744007622098
417,3,57,3,S,0.027777664698112985
418,3,58,3,S,0.023858319410781967
419,3,59,3,S,0.02076008323566892
420,3,60,3,S,0.023511622342775047
421,3,61,3,S,0.021072333767088603
422,3,62,3,S,0.041399107060580836
423,3,63,3,S,0.025342212323895455
424,3,64,3,S,0.021387431579413516
425,3,65,3,S,0.024588816710578658
426,3,66,3,S,0.029161765550799745
427,3,67,3,S,0.03164369997924678
428,3,68,3,S,0.02694121058865218
429,3,69,3,S,0.017847884434190716
430,3,70,3,S,0.02417688847930321
431,3,71,3,S,0.02617029301708896
432,3,72,3,S,0.029317632402756946
433,3,73,3,S,0.02717971784680305
434,3,74,3,S,0.023242720081390406
435,3,75,3,S,0.018283164353786224
436,3,76,3,S,0.027439015229866182
437,3,77,3,S,0.020794075691223875
438,3,78,3,S,0.01817921672674567
439,3,79,3,S,0.014795884416107486
440,3,80,3,S,0.018169419397177783
441,3,81,3,S,0.015453798519813502
442,3,82,3,S,0.01633310293649798
443,3,83,3,S,0.01955015036938968
444,3,84,3,S,0.01826972667344152
445,3,85,3,S,0.0207184031207273
446,3,86,3,S,0.021324607947748115
447,3,87,3,S,0.01783658552113522
448,3,88,3,S,0.015521547682885026
449,3,89,3,S,0.01576342525097236
450,3,90,3,S,0.01698381787762814
451,3,91,3,S,0.01977443152851933
452,3,92,3,S,0.02061249578543723
453,3,93,3,S,0.025773150775149523
454,3,94,3,S,0.03146372441669233
455,3,95,3,S,0.022798598310985657
456,3,96,3,S,0.013080219800146432
457,3,97,3,S,0.017372410143492743
458,3,98,3,S,0.020704119788128
459,3,99,3,S,0.016918249458977633
460,3,100,3,S,0.01195323877382231
461,3,101,3,S,0.013305513327984086
462,3,102,3,S,0.01721785727461602
463,3,103,3,S,0.015315790976657149
464,3,104,3,S,0.01312488736953182
465,3,105,3,S,0.013315299325111862
466,3,106,3,S,0.013199849358045548
467,3,107,3,S,0.012446525693559182
468,3,108,3,S,0.013891890873722315
469,3,109,3,S,0.013917917587037672
470,3,110,3,S,0.02071915384035891
471,3,111,3,S,0.020940000841958236
472,3,112,3,S,0.017668727040221623
473,3,113,3,S,0.017573094532772844
474,3,114,3,S,0.01697051114876095
475,3,115,3,S,0.011985576858762323
476,3,116,3,S,0.013465751312163841
477,3,117,3,S,0.013317672102997797
478,3,118,3,S,0.013317700255146957
479,3,119,3,S,0.014617652691393824
480,4,0,0,S,0.037679556900667016
481,4,1,0,S,0.04044319254130965
482,4,2,0,S,0.021606929533563794
483,4,3,0,S,0.04184834804468521
484,4,4,0,S,0.0265514395152599
485,4,5,0,S,0.045173743079935644
486,4,6,0,S,0.043408921997680865
487,4,7,0,S,0.02664458195828135
488,4,8,1,S,0.015887777041446716
489,4,9,1,S,0.028740917759431665
490,4,10,1,S,0.03061145564850648
491,4,11,1,S,0.027493197542749093
492,4,12,1,S,0.037995970633372025
493,4,13,1,S,0.0346265849133183
494,4,14,1,S,0.029616753682895413
495,4,15,1,S,0.030059762018218406
496,4,16,1,S,0.039769531689360094
497,4,17,1,S,0.023578552320024856
498,4,18,1,S,0.017937438110124028
499,4,19,1,S,0.01917883134776599
500,4,20,1,S,0.01918071966189314
501,4,21,1,S,0.012859748332288822
502,4,22,1,S,0.012859748332288822
503,4,23,1,S,0.01285974833228882
504,4,24,2,S,0.012859748332288822
505,4,25,2,S,0.032854936145206556
506,4,26,2,S,0.03792502050766492
507,4,27,2,S,0.02827992058042675
508,4,28,2,S,0.03535628469448923
509,4,29,2,S,0.030403277793700976
510,4,30,2,S,0.029180848454986863
511,4,31,2,S,0.04273980134862266
512,4,32,2,S,0.02954294342371786
513,4,33,2,S,0.02823149601021548
514,4,34,2,S,0.03288576046364074
515,4,35,2,S,0.03194470126503188
516,4,36,2,S,0.026509104816924187
517,4,37,2,S,0.020256631672860195
518,4,38,2,S,0.020331272413722
519,4,39,2,S,0.023757051063386284
520,4,40,2,S,0.026721546711291462
521,4,41,2,S,0.027548995190417928
522,4,42,2,S,0.02217274316927045
523,4,43,2,S,0.016086833783319654
524,4,44,2,S,0.029021580794774127
525,4,45,2,S,0.030696318161071004
526,4,46,2,S,0.0340105275167822
527,4,47,2,S,0.023355336287235493
528,4,48,2,S,0.01906734868401927
529,4,49,2,S,0.02480389234460135
530,4,50,2,S,0.025280183450871678
531,4,51,2,S,0.03049962178474595
532,4,52,2,S,0.03911165693281602
533,4,53,2,S,0.0416614075942367
534,4,54,2,S,0.03496632770477634
535,4,55,2,S,0.026917873233072594
536,4,56,3,S,0.028531511553724277
537,4,57,3,S,0.02168607427156128
538,4,58,3,S,0.028112122271977468
539,4,59,3,S,0.027139902194087635
540,4,60,3,S,0.029069158762951453
541,4,61,3,S,0.023677148693620788
542,4,62,3,S,0.024959173569727443
543,4,63,3,S,0.019948300884373084
544,4,64,3,S,0.023777516655483447
545,4,65,3,S,0.024020865264506072
546,4,66,3,S,0.021912651753124512
547,4,67,3,S,0.034050577304388874
548,4,68,3,S,0.03332213839639238
549,4,69,3,S,0.025655285205354827
550,4,70,3,S,0.02746613040762118
551,4,71,3,S,0.031085960325406854
552,4,72,3,S,0.0336526455678944
553,4,73,3,S,0.03640475455049831
554,4,74,3,S,0.0248673226529911
555,4,75,3,S,0.03774961454034853
556,4,76,3,S,0.02548180744855652
557,4,77,3,S,0.02607513363592987
558,4,78,3,S,0.021110277043327453
