,SimNum,Iteration,Period,Fidelity,Agent,X,Y,XMax,YMax,VarMax,Var0,XCentroid,YCentroid,ProbExplore,Explore
0,0,0,0,M,0,0.8752947619826451,0.6574313696644885,1.0,0.6574313696644885,0.04633386588777013,0.08118295458386696,0.8604068066082714,0.7302073025712363,0.0,0.0
1,0,0,0,M,1,0.6466080752146638,0.6108381286561455,0.0,0.6108381286561455,0.046333865887770116,0.08118295458386696,0.3154716192180567,0.6442959708304231,0.0,0.0
2,0,0,0,M,2,0.9260334417131285,0.003047523199944946,1.0,0.003047523199944946,0.0463338658877701,0.08118295458386696,0.7433568818014443,0.09079380092285236,0.0,0.0
3,0,0,0,M,3,0.8427179964126585,0.44047246596008927,1.0,0.44047246596008927,0.04575183208057199,0.08118295458386696,0.7810009118731798,0.3350157608467092,0.0,0.0
4,0,1,0,M,0,0.76,0.76,1.0,0.76,0.04240760227391048,0.08118295458386696,0.7971592595171005,0.7432710152349854,1.0,1.0
5,0,1,0,M,1,0.5,1.0,0.0,1.0,0.046007543113592474,0.08118295458386696,0.24313753658738482,0.6621910645321664,1.0,1.0
6,0,1,0,M,2,0.5,0.0,0.06,0.0,0.04491929555142199,0.08118295458386696,0.7816996867053091,0.08028607332656035,1.0,1.0
7,0,1,0,M,3,0.76,0.24,1.0,0.24,0.03909539109209795,0.08118295458386696,0.7828545352096018,0.4101496774385382,1.0,1.0
8,0,2,0,M,0,1.0,1.0,0.76,1.0,0.017987113903357055,0.08118295458386696,0.810973918330212,0.8196348276804009,1.0,1.0
9,0,2,0,M,1,0.5,0.5,0.0,0.5,0.046003635183892444,0.08118295458386696,0.1697597028419306,0.7039920027364495,1.0,1.0
10,0,2,0,M,2,1.0,0.0,0.12,0.0,0.0431435340295674,0.08118295458386696,0.5632117528675774,0.07800389433056197,1.0,1.0
11,0,2,0,M,3,1.0,0.5,0.4,0.5,0.02615730798718509,0.08118295458386696,0.784495957682348,0.5166590729288227,1.0,1.0
12,0,3,0,M,0,0.810973918330212,0.8196348276804009,0.5,0.8196348276804009,0.01830452290796135,0.08118295458386696,0.8157156370221756,0.8483741266505233,0.0,0.0
13,0,3,0,M,1,0.24,0.24,0.0,0.24,0.04600319750428147,0.08118295458386696,0.15817546204945745,0.636232626707903,1.0,1.0
14,0,3,0,M,2,0.5632117528675774,0.07800389433056197,0.0,0.07800389433056197,0.04217872972903504,0.08118295458386696,0.2775159709121956,0.17168021502009823,0.0,0.0
15,0,3,0,M,3,0.784495957682348,0.5166590729288227,1.0,0.5166590729288227,0.01767862644346975,0.08118295458386696,0.7742428791166903,0.5790860002044389,0.0,0.0
16,0,4,0,M,0,0.8157156370221756,0.8483741266505233,0.48,0.8483741266505233,0.01927707319542578,0.08118295458386696,0.8169655624536378,0.8653376170890756,0.0,0.0
17,0,4,0,M,1,0.0,0.0,0.0,0.0,0.046001160754096146,0.08118295458386696,0.15737745639986178,0.7080561089109386,1.0,1.0
18,0,4,0,M,2,0.2775159709121956,0.17168021502009823,0.0,0.17168021502009823,0.03281884752523991,0.08118295458386696,0.19095632287168487,0.18039163245154277,0.0,0.0
19,0,4,0,M,3,0.7742428791166903,0.5790860002044389,0.48,0.5790860002044389,0.01960578901323782,0.08118295458386696,0.7653261594449166,0.61304188318328,0.0,0.0
20,0,5,0,M,0,0.8169655624536378,0.8653376170890756,0.76,0.8653376170890756,0.017968057422422787,0.08118295458386696,0.8253764670146942,0.8749533812123752,0.0,0.0
21,0,5,0,M,1,0.0,0.5,0.0,0.5,0.045681869318398884,0.08118295458386696,0.1760799365972299,0.7992942556883238,1.0,1.0
22,0,5,0,M,2,0.19095632287168487,0.18039163245154277,0.0,0.18039163245154277,0.01796805742242276,0.08118295458386696,0.1992490863997497,0.17990019782729716,0.0,0.0
23,0,5,0,M,3,0.7653261594449166,0.61304188318328,0.48,0.61304188318328,0.019694667633315226,0.08118295458386696,0.7576768494032947,0.6257909161035516,0.0,0.0
24,0,6,0,M,0,0.8253764670146942,0.8749533812123752,0.76,0.8749533812123752,0.017669680350407557,0.08118295458386696,0.8341044533682989,0.8792067253168931,0.0,0.0
25,0,6,0,M,1,0.24,0.76,0.0,0.76,0.04217464773633149,0.08118295458386696,0.10626487667341848,0.8866253332581409,1.0,1.0
26,0,6,0,M,2,0.1992490863997497,0.17990019782729716,0.76,0.17990019782729716,0.017670600636720477,0.08118295458386696,0.19971461319686734,0.18595993133828356,0.0,0.0
27,0,6,0,M,3,0.7576768494032947,0.6257909161035516,1.0,0.6257909161035516,0.017670600636720477,0.08118295458386696,0.7571834553018316,0.629330447979916,0.0,0.0
28,0,7,0,M,0,0.8341044533682989,0.8792067253168931,1.0,0.8792067253168931,0.0176692224802677,0.08118295458386696,0.8331818401773657,0.8810248145823095,0.0,0.0
29,0,7,0,M,1,0.0,1.0,0.0,1.0,0.0176692224802677,0.08118295458386696,0.2757147739551205,0.7083747277393497,1.0,1.0
30,0,7,0,M,2,0.19971461319686734,0.18595993133828356,0.0,0.18595993133828356,0.017669222480267685,0.08118295458386696,0.19858806769307918,0.1933205335605905,0.0,0.0
31,0,7,0,M,3,0.7571834553018316,0.629330447979916,1.0,0.629330447979916,0.017669222480267685,0.08118295458386696,0.7447022078376647,0.6412191693322791,0.0,0.0
32,0,8,1,M,0,0.8331818401773657,0.8810248145823095,1.0,0.8810248145823095,0.0176692224802677,0.08118295458386696,0.839393225065537,0.8818853313293922,0.0,0.0
33,0,8,1,M,1,0.2757147739551205,0.7083747277393497,0.0,0.7083747277393497,0.0176692224802677,0.08118295458386696,0.32279345139332627,0.6352472564355662,0.0,0.0
34,0,8,1,M,2,0.19858806769307918,0.1933205335605905,0.0,0.1933205335605905,0.017669222480267685,0.08118295458386696,0.19715097281041566,0.18319762120645153,0.0,0.0
35,0,8,1,M,3,0.7447022078376647,0.6412191693322791,1.0,0.6412191693322791,0.017669222480267685,0.08118295458386696,0.7563667566893164,0.6432231938879643,0.0,0.0
36,0,9,1,M,0,1.0,0.76,0.74,0.76,0.014299557900862098,0.08118295458386696,0.8457593152004743,0.8810997847111485,1.0,1.0
37,0,9,1,M,1,0.5,0.76,0.0,0.76,0.017097789003383893,0.08118295458386696,0.2802218543620987,0.5317029929423069,1.0,1.0
38,0,9,1,M,2,0.76,0.0,0.0,0.0,0.017346314396011392,0.08118295458386696,0.20194209102941715,0.17844810834526575,1.0,1.0
39,0,9,1,M,3,0.74,0.5,1.0,0.5,0.014171852699603554,0.08118295458386696,0.781243709342886,0.673550410369308,1.0,1.0
40,0,10,1,M,0,0.76,1.0,0.88,1.0,0.0025296888392467715,0.08118295458386696,0.8408719570443582,0.892541081926943,1.0,1.0
