,SimNum,Iteration,Agent,X,Y,Sample
73,2,3,1.0,0.16,0.0,0.7642121044678257
74,2,3,2.0,0.76,0.0,0.010034331625259546
75,2,3,3.0,0.5,1.0,0.042943692401363975
76,2,4,0.0,0.26,0.8,0.010158174307954107
77,2,4,2.0,1.0,0.0,0.00990099157789989
78,2,4,3.0,0.76,0.7000000000000001,0.31050836478945754
79,2,5,0.0,0.22,0.3,0.3434550221979068
80,2,5,3.0,1.0,0.68,0.3178100925567947
81,2,6,3.0,0.76,1.0,0.5576432389641515
82,2,7,1.0,0.0,0.22,0.6176760548179082
83,2,8,2.0,0.84,0.2,0.009966135273347151
84,2,9,0.0,0.22,1.0,0.009978977047726396
85,2,13,3.0,0.52,0.74,0.042951737783626376
86,2,15,3.0,0.8,0.48,0.033706744258982554
87,2,16,2.0,0.42,0.2,0.11446599336477704
88,2,16,3.0,0.6,0.54,0.0222931354696453
89,2,17,2.0,0.62,0.12,0.014302796776665724
90,2,19,0.0,0.0,0.8,0.00994586732240386
91,2,20,0.0,0.18,0.58,0.018591659330650292
92,2,21,2.0,1.0,0.16,0.009915131611182898
93,2,25,0.0,0.06,0.42,0.1335941474226357
94,2,33,3.0,0.92,0.86,0.961177656734446
95,2,34,3.0,0.64,0.88,0.2640204763810947
96,2,46,0.0,0.12,0.88,0.00991104546532131
97,2,49,1.0,0.22,0.12,0.7463241487552806
98,3,1,0.0,0.0,0.12,0.8140663452025318
99,3,1,1.0,0.0,0.8,0.00994586732240386
100,3,1,2.0,0.0,0.0,0.673584155232106
101,3,1,3.0,0.16,0.86,0.009926505372376502
102,3,2,0.0,0.38,0.46,0.025446219814986955
103,3,2,1.0,0.0,1.0,0.00990099157789989
104,3,2,2.0,1.0,0.04,0.009901232395351187
105,3,2,3.0,1.0,0.6,0.1438961927689655
106,3,3,2.0,0.52,0.0,0.033703691952778746
107,3,3,3.0,0.7000000000000001,1.0,0.3741379671426681
108,3,4,2.0,0.72,0.3,0.01049139372646579
109,3,4,3.0,0.74,0.34,0.011107998478754759
110,3,5,2.0,0.28,0.14,0.5115019040294118
111,3,5,3.0,1.0,1.0,0.6735841552321062
112,3,6,0.0,0.0,0.48,0.055042484671396025
113,3,6,1.0,0.54,0.72,0.048686427462973116
114,3,6,3.0,0.58,0.72,0.07671218202380363
115,3,7,1.0,0.4,1.0,0.015362803068544288
116,3,7,2.0,0.78,0.0,0.009978977047726396
117,3,10,3.0,1.0,0.3,0.01050608403594439
118,3,11,0.0,0.2,0.6,0.015371863325102056
119,3,14,0.0,0.16,0.34,0.3010411213754345
120,3,15,3.0,0.88,0.8200000000000001,0.874101597674334
121,3,16,0.0,0.16,1.0,0.009915131611182898
122,3,16,3.0,0.6,0.52,0.01921067348337364
123,3,18,0.0,0.34,0.32,0.12874629445006106
124,3,19,3.0,1.0,0.8,0.6735841552371565
125,3,30,1.0,0.22,0.0,0.6176760548179082
126,3,31,2.0,0.88,0.16,0.00992283875896936
127,3,40,0.0,0.56,0.9,0.10798300293428943
128,3,45,3.0,0.8200000000000001,0.6,0.1538998707319534
129,3,47,3.0,0.86,1.0,0.7949961310621264
130,4,1,0.0,0.0,0.0,0.673584155232106
131,4,1,1.0,0.0,0.24,0.5576432389641515
132,4,1,2.0,0.24,1.0,0.010034331625259546
133,4,1,3.0,0.0,0.48,0.055042484671396025
134,4,2,0.0,1.0,0.1,0.009903171376491157
135,4,2,1.0,0.44,0.36,0.035319037704518434
136,4,2,2.0,1.0,0.2,0.00994586732240386
137,4,2,3.0,0.56,0.42,0.0127337441451673
138,4,3,0.0,0.56,0.0,0.02167380795483685
139,4,3,1.0,0.2,0.08,0.8140663452813448
140,4,3,2.0,1.0,1.0,0.6735841552321062
141,4,3,3.0,0.38,0.7000000000000001,0.01204826281907975
142,4,4,2.0,1.0,0.64,0.21962750953120955
143,4,4,3.0,0.0,0.86,0.00990872616035144
144,4,5,0.0,0.74,0.2,0.010158174307954107
145,4,5,2.0,0.64,1.0,0.21962750953120955
146,4,6,2.0,0.74,0.74,0.3655004180707322
147,4,6,3.0,0.22,0.5,0.040164074964447585
148,4,8,0.0,0.8,0.0,0.00994586732240386
149,4,8,2.0,0.86,0.46,0.02986304867936977
150,4,9,1.0,0.24,0.0,0.5576432389641515
151,4,12,3.0,0.0,1.0,0.00990099157789989
152,4,13,3.0,0.18,0.74,0.010160670933633823
153,4,27,2.0,0.44,1.0,0.021673807954836862
154,4,32,0.0,0.42,0.14,0.1335942350295034
155,4,36,2.0,0.9,0.86,0.968818393459426
156,4,38,3.0,0.18,0.32,0.34079720070256403
157,4,44,2.0,0.56,0.84,0.10116953812200104
158,4,48,3.0,0.0,0.66,0.011431693414498158
159,5,1,0.0,0.14,0.0,0.7949961310621263
160,5,1,1.0,0.0,0.0,0.673584155232106
161,5,1,2.0,0.0,0.44,0.09020369234436296
162,5,1,3.0,0.0,0.78,0.009978977047726396
163,5,2,0.0,1.0,0.34,0.011431693414498158
164,5,2,1.0,0.32,0.16,0.3598560458927528
165,5,2,2.0,0.48,0.38,0.02152487524273111
166,5,2,3.0,1.0,1.0,0.6735841552321062
167,5,3,0.0,0.76,0.0,0.010034331625259546
168,5,3,2.0,0.24,0.58,0.016593099659522426
169,5,3,3.0,0.48,1.0,0.03370369195277875
170,5,4,0.0,1.0,0.0,0.00990099157789989
171,5,4,3.0,0.76,0.68,0.2640206563635534
172,5,6,2.0,0.16,1.0,0.009915131611182898
173,5,7,2.0,0.4,0.72,0.013465510369553305
174,5,8,1.0,0.06,0.22,0.7288603923100234
175,5,11,2.0,0.0,1.0,0.00990099157789989
176,5,11,3.0,1.0,0.68,0.3178100925567947
177,5,12,0.0,0.74,0.3,0.010467007408230184
178,5,13,0.0,0.48,0.0,0.055042484671396025
179,5,13,2.0,0.24,0.36,0.18299017889296312
180,5,14,3.0,0.74,1.0,0.4957047679587813
181,5,17,2.0,0.54,0.56,0.017543599421828742
182,5,23,1.0,0.0,0.28,0.4339312196527251
183,5,29,3.0,0.86,0.5,0.04898882314458612
184,5,30,2.0,0.2,0.8200000000000001,0.009974619929672359
185,5,30,3.0,0.6,0.84,0.16219377643729602
186,5,32,2.0,0.32,0.94,0.011048873618831874
187,5,35,0.0,0.58,0.16,0.01909022398741131
188,5,38,1.0,0.26,0.0,0.4957047679587813
189,5,41,0.0,0.9,0.16,0.009920735194087295
190,5,42,3.0,0.9,0.86,0.968818393459426
191,6,1,0.0,0.74,0.36,0.011711623540600234
192,6,1,1.0,0.5,0.3,0.028065272016382068
193,6,1,2.0,0.0,0.0,0.673584155232106
194,6,1,3.0,0.36,0.0,0.21962750953120955
195,6,2,0.0,1.0,0.66,0.2660615719830961
196,6,2,1.0,0.42,1.0,0.01798419351731321
197,6,2,2.0,0.0,1.0,0.00990099157789989
198,6,2,3.0,1.0,0.0,0.00990099157789989
199,6,3,0.0,1.0,0.32,0.010871133262801782
200,6,3,1.0,0.86,1.0,0.7949961310621264
201,6,3,2.0,0.0,0.5,0.042943692401363975
202,6,3,3.0,0.68,0.0,0.010871133262801782
203,6,4,1.0,0.4,0.66,0.01231804792022179
204,6,4,2.0,0.32,0.62,0.011832951315552105
205,6,4,3.0,0.36,0.58,0.012829699104109945
206,6,5,0.0,0.74,0.66,0.1974062821917183
207,6,5,2.0,0.16,0.26,0.5620427575174811
208,6,5,3.0,0.26,0.24,0.4108382039680831
209,6,8,0.0,0.84,0.16,0.009933130587109672
210,6,9,1.0,0.64,1.0,0.21962750953120955
211,6,10,2.0,0.0,0.76,0.010034331625259546
212,6,10,3.0,0.08,0.8,0.009956477967348065
213,6,11,0.0,1.0,0.8,0.6735841552371565
214,6,12,1.0,1.0,1.0,0.6735841552321062
215,6,13,1.0,0.2,1.0,0.00994586732240386
216,6,20,0.0,0.6,0.5,0.01684401211980624
217,6,20,2.0,0.0,0.2,0.6735841552371563
218,6,24,1.0,0.6,0.84,0.16219377643729602
219,6,28,0.0,0.86,0.0,0.00990872616035144
220,6,31,1.0,0.32,0.86,0.011052210725332998
221,6,34,3.0,0.18,0.44,0.09619917966159212
222,6,38,1.0,0.8200000000000001,0.84,0.8205254718268933
223,6,48,2.0,0.18,0.0,0.7231316613186033
224,7,1,0.0,0.0,0.4,0.1438961927689655
225,7,1,1.0,0.08,0.42,0.13659870386722311
226,7,1,2.0,0.32,0.48,0.030878653534974026
227,7,1,3.0,0.0,0.0,0.673584155232106
228,7,2,0.0,0.0,1.0,0.00990099157789989
229,7,2,1.0,0.8,1.0,0.6735841552371565
230,7,2,2.0,1.0,1.0,0.6735841552321062
231,7,2,3.0,0.76,0.0,0.010034331625259546
232,7,3,0.0,0.3,0.84,0.010596480645988924
233,7,3,2.0,1.0,0.46,0.02677537418904204
234,7,3,3.0,0.38,0.0,0.1788850220067227
235,7,4,0.0,0.0,0.7000000000000001,0.01050608403594439
236,7,4,1.0,0.68,0.72,0.2066260475528931
237,7,4,2.0,0.68,0.64,0.10720491142384116
238,7,4,3.0,0.56,0.24,0.019633288434525654
239,7,5,2.0,1.0,0.12,0.00990514311082838
240,7,6,1.0,0.48,1.0,0.03370369195277875
241,7,7,2.0,1.0,0.74,0.4957047679587813
242,7,8,1.0,0.24,1.0,0.010034331625259546
243,7,8,2.0,0.8,0.3,0.010530712366706552
244,7,9,1.0,0.48,0.68,0.02100992823300876
245,7,9,3.0,0.22,0.2,0.6176760600964649
246,7,10,2.0,1.0,0.0,0.00990099157789989
247,7,12,3.0,0.0,0.18,0.7231316613186033
248,7,20,2.0,0.56,0.44,0.012749797252838674
249,7,21,0.0,0.18,0.66,0.01155577985310455
250,7,24,3.0,0.18,0.0,0.7231316613186033
251,7,28,2.0,0.88,0.6,0.1722590918001245
252,7,31,3.0,0.58,0.0,0.017984193517313216
253,7,38,1.0,0.88,0.86,0.9611776567701512
254,7,41,0.0,0.08,0.86,0.009911672716132074
255,7,45,2.0,0.74,0.14,0.010172033982975413
256,8,1,0.0,0.6,0.46,0.013807226487766222
257,8,1,1.0,0.0,0.0,0.673584155232106
258,8,1,2.0,0.0,0.4,0.1438961927689655
259,8,1,3.0,0.68,0.0,0.010871133262801782
260,8,2,0.0,1.0,1.0,0.6735841552321062
261,8,2,1.0,0.34,0.16,0.3010411213754345
262,8,2,2.0,0.22,1.0,0.009978977047726396
263,8,2,3.0,1.0,0.34,0.011431693414498158
264,8,3,0.0,0.62,0.92,0.21465399661604195
265,8,3,2.0,0.0,0.76,0.010034331625259546
266,8,4,1.0,0.36,0.0,0.21962750953120955
267,8,4,3.0,1.0,0.0,0.00990099157789989
268,8,5,0.0,1.0,0.68,0.3178100925567947
269,8,5,2.0,0.32,0.64,0.011310195069673208
270,8,5,3.0,0.76,0.24,0.010121079933168495
271,8,6,0.0,0.74,0.68,0.23528505385162404
272,8,6,1.0,0.1,0.2,0.8205254714333114
273,8,7,2.0,0.0,1.0,0.00990099157789989
274,8,9,2.0,0.26,0.42,0.08644293404714798
275,8,9,3.0,0.38,0.34,0.07513175867044644
276,8,10,0.0,0.8,1.0,0.6735841552371565
277,8,10,3.0,0.56,0.16,0.0232831501946317
278,8,11,3.0,1.0,0.16,0.009915131611182898
279,8,13,2.0,0.44,1.0,0.021673807954836862
280,8,14,0.0,0.84,0.5,0.04745649578895672
281,8,17,2.0,0.48,0.76,0.029554568734244988
282,8,20,2.0,0.22,0.8200000000000001,0.010008062537012231
283,8,21,0.0,0.9,0.84,0.9312186984906012
284,8,22,2.0,0.14,0.66,0.011714716903323685
285,8,25,2.0,0.5,0.58,0.015509253053834313
286,8,25,3.0,0.22,0.0,0.6176760548179082
287,8,30,0.0,1.0,0.52,0.05504248467139605
288,8,34,1.0,0.0,0.58,0.017984193517313216
289,9,1,0.0,0.4,0.36,0.05226348745461442
290,9,1,1.0,0.76,0.0,0.010034331625259546
291,9,1,2.0,0.22,0.0,0.6176760548179082
292,9,1,3.0,0.0,0.0,0.673584155232106
293,9,2,0.0,1.0,1.0,0.6735841552321062
294,9,2,1.0,1.0,0.48,0.03370369195277875
295,9,2,2.0,0.66,0.32,0.010985540202990607
296,9,2,3.0,0.0,1.0,0.00990099157789989
297,9,3,0.0,0.5,0.92,0.049937943362686206
298,9,3,1.0,1.0,0.14,0.00990872616035144
299,9,3,2.0,0.5,0.0,0.042943692401363975
300,9,3,3.0,0.0,0.54,0.026775374189042026
301,9,4,0.0,0.74,0.7000000000000001,0.2765158941567867
302,9,4,1.0,0.68,0.62,0.08830467578833408
303,9,4,3.0,0.26,0.72,0.010316165350297505
304,9,5,0.0,0.26,1.0,0.010125326091911706
305,9,5,3.0,0.0,0.26,0.4957047679587813
306,9,6,1.0,1.0,0.68,0.3178100925567947
307,9,6,2.0,0.22,0.22,0.5664776129324919
308,9,7,3.0,0.0,0.78,0.009978977047726396
309,9,8,3.0,0.2,0.48,0.055044094129333136
310,9,9,3.0,0.44,0.62,0.01333788761612478
311,9,11,0.0,0.74,1.0,0.4957047679587813
312,9,11,1.0,1.0,0.0,0.00990099157789989
313,9,13,2.0,0.54,0.16,0.029080933393695305
314,9,14,1.0,0.86,0.32,0.011052210725332998
315,9,16,0.0,0.86,0.56,0.10489416029228713
316,9,21,1.0,0.8,0.14,0.009961811321455264
317,9,24,3.0,0.14,0.9,0.009913011131692894
318,9,38,0.0,0.9,0.88,0.992110805597626
