,SimNum,Iteration,Agent,X,Y,XMax,YMax,VarMax,Var0,XCentroid,YCentroid,ProbExplore,Explore
0,0,0,0,0.5892648555354473,0.8143431887444262,0.0,0.8143431887444262,0.025808126766835388,0.10836247812158031,0.6198552028126303,0.7711631956360431,0.2381647892721615,True
1,0,0,1,0.5501018297053167,0.32174450577363123,1.0,0.32174450577363123,0.025808126766835374,0.10836247812158031,0.6242021264885047,0.3756017290477661,0.2381647892721614,False
2,0,0,2,0.292233652860336,0.17590969920449961,0.0,0.17590969920449961,0.025808126766835304,0.10836247812158031,0.1617138175332259,0.2868760005163298,0.23816478927216075,False
3,0,0,3,0.35621487727786183,0.16056949928898,0.32,0.16056949928898,0.01574225832670552,0.10836247812158031,0.42216225079530967,0.12465228626047382,0.14527407087389652,False
4,0,1,0,0.0,1.0,1.0,1.0,0.02529229117895819,0.10836247812158031,0.6369789248349434,0.7801773192159289,0.2334045106515633,False
5,0,1,1,0.6242021264885047,0.3756017290477661,1.0,0.3756017290477661,0.025805386565748517,0.10836247812158031,0.6695563043308398,0.3947300108863037,0.23813950191131142,False
6,0,1,2,0.1617138175332259,0.2868760005163298,0.0,0.2868760005163298,0.025292291178958204,0.10836247812158031,0.16413125829401018,0.3546766398536226,0.23340451065156345,False
7,0,1,3,0.42216225079530967,0.12465228626047382,0.68,0.12465228626047382,0.01573693720488463,0.10836247812158031,0.42444643911081276,0.1330228352223321,0.14522496603693516,True
8,0,2,0,0.6369789248349434,0.7801773192159289,1.0,0.7801773192159289,0.02471216601445468,0.10836247812158031,0.6488553360355926,0.7917980146884285,0.22805094939530798,False
9,0,2,1,0.6695563043308398,0.3947300108863037,1.0,0.3947300108863037,0.02453720238094291,0.10836247812158031,0.7018140945793655,0.40817731190349704,0.22643633484842152,False
10,0,2,2,0.16413125829401018,0.3546766398536226,0.0,0.3546766398536226,0.024082098742611316,0.10836247812158031,0.17569692376269697,0.39921284553132996,0.22223650806132111,False
11,0,2,3,0.68,0.0,0.1,0.0,0.013521480737349711,0.10836247812158031,0.4053101962509942,0.1436705460628068,0.12478009890267466,False
12,0,3,0,0.6488553360355926,0.7917980146884285,1.0,0.7917980146884285,0.02471216601445468,0.10836247812158031,0.6583917333297837,0.7995808591022253,0.22805094939530798,False
13,0,3,1,0.7018140945793655,0.40817731190349704,1.0,0.40817731190349704,0.02453720238094291,0.10836247812158031,0.7175398836864295,0.41572777387301546,0.22643633484842152,False
14,0,3,2,0.17569692376269697,0.39921284553132996,0.0,0.39921284553132996,0.02122053489229514,0.10836247812158031,0.1874663941454015,0.4420568548430637,0.19582917685295242,False
15,0,3,3,0.4053101962509942,0.1436705460628068,0.0,0.1436705460628068,0.024082098742611316,0.10836247812158031,0.3742301450702954,0.1467676740860263,0.22223650806132111,False
16,0,4,0,0.6583917333297837,0.7995808591022253,1.0,0.7995808591022253,0.02471216601445468,0.10836247812158031,0.6697496209679918,0.8044863047378638,0.22805094939530798,False
17,0,4,1,0.7175398836864295,0.41572777387301546,1.0,0.41572777387301546,0.02453720238094291,0.10836247812158031,0.7242209804594059,0.41536689662389104,0.22643633484842152,False
18,0,4,2,0.1874663941454015,0.4420568548430637,0.0,0.4420568548430637,0.01496892676289338,0.10836247812158031,0.20386096137957194,0.4880324223735122,0.1381375456004114,False
19,0,4,3,0.3742301450702954,0.1467676740860263,0.0,0.1467676740860263,0.024082098742611316,0.10836247812158031,0.3381732670460855,0.15018818202142128,0.22223650806132111,True
20,0,5,0,0.6697496209679918,0.8044863047378638,1.0,0.8044863047378638,0.024712035210801037,0.10836247812158031,0.6854785777591452,0.8077712412483664,0.2280497423017096,False
21,0,5,1,0.7242209804594059,0.41536689662389104,1.0,0.41536689662389104,0.023529952048689712,0.10836247812158031,0.7224281570491307,0.40907629477108737,0.21714114014898794,False
22,0,5,2,0.20386096137957194,0.4880324223735122,0.0,0.4880324223735122,0.013958721835668056,0.10836247812158031,0.22056082622516882,0.5302431946303211,0.12881508505191877,False
23,0,5,3,0.0,0.0,0.3,0.0,0.013044779257257319,0.10836247812158031,0.3018594853291072,0.15399067920577728,0.12038096104281931,True
24,0,6,0,0.6854785777591452,0.8077712412483664,1.0,0.8077712412483664,0.024705774971873373,0.10836247812158031,0.7017855542719439,0.8071851902226169,0.2279919710229775,True
25,0,6,1,0.7224281570491307,0.40907629477108737,1.0,0.40907629477108737,0.022776882321168507,0.10836247812158031,0.7181376306760221,0.3978522536250438,0.21019159690694178,False
26,0,6,2,0.22056082622516882,0.5302431946303211,0.0,0.5302431946303211,0.01382528298964475,0.10836247812158031,0.23884913544049916,0.5650357219996626,0.12758367314314356,False
27,0,6,3,0.3,0.0,0.0,0.0,0.009119813055081818,0.10836247812158031,0.27890277796275775,0.16195530875675215,0.08416024820740615,False
28,0,7,0,1.0,1.0,1.0,1.0,0.01452134810588443,0.10836247812158031,0.7212736655820606,0.810564352135626,0.1340071614972832,False
29,0,7,1,0.7181376306760221,0.3978522536250438,1.0,0.3978522536250438,0.022439822324153064,0.10836247812158031,0.7134934628197188,0.3861536456798769,0.20708111066799412,False
30,0,7,2,0.23884913544049916,0.5650357219996626,0.0,0.5650357219996626,0.013633835234742334,0.10836247812158031,0.2562855117769646,0.5904289866313787,0.12581693840044403,False
31,0,7,3,0.27890277796275775,0.16195530875675215,0.0,0.16195530875675215,0.010154794829994415,0.10836247812158031,0.26318552797554884,0.1708129535389678,0.09371135660630572,False
