,SimNum,Iteration,Agent,X,Y,Sample
0,0,1,0.0,1.0,1.0,0.6735841552321062
1,0,1,1.0,0.0,0.0,0.673584155232106
2,0,1,2.0,1.0,0.0,0.00990099157789989
3,0,2,1.0,0.5,0.0,0.042943692401363975
4,0,2,2.0,1.0,0.5,0.042943692401363975
5,0,3,1.0,0.0,0.42,0.11446544680006288
6,0,4,0.0,0.4,1.0,0.015362803068544288
7,0,4,1.0,0.38,0.34,0.07513175867044644
8,0,4,2.0,0.54,0.62,0.025446219814986955
9,0,4,3.0,0.0,1.0,0.00990099157789989
10,0,5,0.0,0.7000000000000001,1.0,0.3741379671426681
11,0,6,2.0,0.74,0.26,0.010229398288481087
12,0,8,3.0,0.18,0.7000000000000001,0.010565203582026127
13,0,9,1.0,0.24,0.0,0.5576432389641515
14,0,9,3.0,0.18,0.24,0.5985351411574225
15,0,10,2.0,0.86,0.74,0.5845760941823057
16,0,14,2.0,1.0,0.24,0.010034331625259546
17,0,15,3.0,0.0,0.72,0.010272394197649252
18,0,16,1.0,0.76,0.0,0.010034331625259546
19,0,16,2.0,0.8,0.04,0.009952236057515444
20,0,19,2.0,0.76,0.52,0.04716133293214081
21,0,24,3.0,0.22,0.48,0.05124258966822555
22,0,25,1.0,0.0,0.14,0.7949961310621263
23,0,25,3.0,0.0,0.2,0.6735841552371563
24,0,26,0.0,0.2,1.0,0.00994586732240386
25,0,36,2.0,1.0,0.76,0.5576432389641515
26,0,39,1.0,0.54,0.18,0.02803747012331014
27,0,45,0.0,0.56,0.84,0.10116953812200104
28,1,1,2.0,0.0,0.0,0.673584155232106
29,1,1,3.0,0.0,1.0,0.00990099157789989
30,1,2,0.0,0.96,0.0,0.009901232395351187
31,1,2,1.0,1.0,1.0,0.6735841552321062
32,1,3,0.0,0.38,0.46,0.025446219814986955
33,1,3,1.0,1.0,0.5,0.042943692401363975
34,1,3,2.0,0.0,0.5,0.042943692401363975
35,1,4,0.0,0.48,0.0,0.055042484671396025
36,1,4,2.0,0.28,0.1,0.527812715965565
37,1,4,3.0,0.5,1.0,0.042943692401363975
38,1,5,0.0,0.72,0.3,0.01049139372646579
39,1,5,1.0,0.7000000000000001,0.7000000000000001,0.20979896650143973
40,1,6,0.0,0.24,0.78,0.010087458922254322
41,1,9,3.0,0.76,1.0,0.5576432389641515
42,1,11,1.0,1.0,0.24,0.010034331625259546
43,1,12,3.0,1.0,0.76,0.5576432389641515
44,1,14,1.0,0.24,1.0,0.010034331625259546
45,1,17,1.0,0.46,0.72,0.020716028171700197
46,1,18,3.0,0.86,0.5,0.04898882314458612
47,1,19,2.0,0.0,0.24,0.5576432389641515
48,1,20,1.0,0.0,0.8200000000000001,0.009926393971022324
49,1,23,2.0,0.18,0.36,0.2352848169763219
50,1,28,0.0,0.74,0.0,0.010125326091911706
51,1,28,1.0,0.6,0.5,0.01684401211980624
52,1,28,2.0,0.2,0.0,0.6735841552371563
53,1,34,0.0,0.5,0.24,0.037177973335398816
54,1,35,1.0,0.24,0.62,0.012932394411868851
55,1,35,3.0,0.86,0.86,0.9386188023322058
56,1,44,1.0,0.62,0.88,0.2146540132514569
57,2,1,1.0,0.0,1.0,0.00990099157789989
58,2,1,2.0,0.0,0.0,0.673584155232106
59,2,1,3.0,1.0,1.0,0.6735841552321062
60,2,2,2.0,0.56,0.0,0.02167380795483685
61,2,2,3.0,0.5,1.0,0.042943692401363975
62,2,3,0.0,1.0,0.36,0.012277784771448438
63,2,3,1.0,0.0,0.5,0.042943692401363975
64,2,3,2.0,0.22,0.32,0.2918722012856106
65,2,3,3.0,1.0,0.58,0.11446544680006275
66,2,4,2.0,0.28,0.0,0.4339312196527251
67,2,5,0.0,0.58,0.56,0.022696101931703433
68,2,5,1.0,0.44,0.6,0.012938633302901143
69,2,5,3.0,0.7000000000000001,0.72,0.24261398614961566
70,2,6,1.0,0.2,0.8200000000000001,0.009974619929672359
71,2,7,2.0,0.8,0.0,0.00994586732240386
72,2,9,1.0,0.66,0.26,0.011107998478754759
73,2,10,1.0,0.0,0.26,0.4957047679587813
74,2,11,1.0,0.0,0.76,0.010034331625259546
75,2,11,2.0,0.98,0.0,0.009901074684316622
76,2,12,3.0,0.8200000000000001,1.0,0.7231316613186034
77,2,17,1.0,0.44,0.24,0.0761777017415983
78,2,18,2.0,0.16,0.14,0.9022032503250778
79,2,20,1.0,0.18,0.6,0.01577569403950044
80,2,23,3.0,1.0,0.8,0.6735841552371565
81,2,25,3.0,0.8200000000000001,0.46,0.02803747012331017
82,2,33,3.0,0.9,0.18,0.009934358194117095
83,2,48,1.0,0.36,0.44,0.035319037704518434
84,2,48,2.0,0.42,0.42,0.02647365111105198
85,3,1,1.0,1.0,0.3,0.01050608403594439
86,3,1,2.0,0.0,0.0,0.673584155232106
87,3,2,0.0,0.0,1.0,0.00990099157789989
88,3,2,1.0,0.38,0.48,0.02152487524273111
89,3,3,0.0,1.0,1.0,0.6735841552321062
90,3,3,1.0,0.78,0.64,0.20196059829034188
91,3,3,3.0,0.58,0.0,0.017984193517313216
92,3,4,0.0,0.48,1.0,0.03370369195277875
93,3,4,1.0,1.0,0.0,0.00990099157789989
94,3,4,2.0,0.0,0.52,0.033703691952778746
95,3,5,2.0,0.2,0.2,0.6735841582765337
96,3,6,2.0,0.22,0.76,0.010087458922254322
97,3,7,1.0,0.68,0.3,0.010714107102437509
98,3,7,3.0,0.66,0.3,0.010974563689726685
99,3,8,1.0,1.0,0.66,0.2660615719830961
100,3,8,3.0,0.3,0.0,0.374137967142668
101,3,10,1.0,0.52,0.68,0.030878653534974026
102,3,10,2.0,0.0,0.76,0.010034331625259546
103,3,10,3.0,0.8,0.0,0.00994586732240386
104,3,11,0.0,0.74,1.0,0.4957047679587813
105,3,11,2.0,0.0,0.26,0.4957047679587813
106,3,12,0.0,0.22,1.0,0.009978977047726396
107,3,15,1.0,0.92,0.48,0.038742126933360314
108,3,16,0.0,0.86,0.84,0.9022032503250776
109,3,23,1.0,0.68,0.48,0.02100992823300876
110,3,28,0.0,0.62,0.86,0.2097984572920056
111,3,28,3.0,0.4,0.18,0.15389987073195338
112,4,1,0.0,1.0,1.0,0.6735841552321062
113,4,1,2.0,0.34,1.0,0.011431693414498158
114,4,1,3.0,0.0,0.0,0.673584155232106
115,4,2,0.0,1.0,0.04,0.009901232395351187
116,4,2,2.0,0.7000000000000001,0.3,0.010565124733177295
117,4,3,0.0,1.0,0.58,0.11446544680006275
118,4,3,3.0,0.28,0.34,0.1735639891095059
119,4,4,1.0,0.0,0.7000000000000001,0.01050608403594439
120,4,4,2.0,0.6,0.7000000000000001,0.08344403008838545
121,4,5,0.0,0.68,1.0,0.3178100925567947
122,4,5,1.0,0.0,1.0,0.00990099157789989
123,4,6,0.0,0.86,0.78,0.728860393156104
124,4,6,2.0,0.3,0.66,0.010974563689726685
125,4,6,3.0,0.46,0.0,0.07059243162992812
126,4,8,3.0,0.74,0.0,0.010125326091911706
127,4,9,0.0,1.0,0.3,0.01050608403594439
128,4,9,1.0,0.0,0.34,0.266061571983096
129,4,11,2.0,0.52,0.48,0.013138830619516192
130,4,12,3.0,0.22,0.0,0.6176760548179082
131,4,13,0.0,1.0,0.8,0.6735841552371565
132,4,22,2.0,0.78,0.5,0.040164074964447585
133,4,26,3.0,0.46,0.2,0.07059357262121822
134,4,27,0.0,0.46,0.86,0.02986304867936977
135,4,28,2.0,0.86,0.16,0.009926505372376502
136,4,29,2.0,0.64,0.14,0.01271505011350788
137,4,32,3.0,0.1,0.18,0.8810429319581428
138,4,39,1.0,0.16,0.86,0.009926505372376502
139,4,40,3.0,0.12,0.52,0.038742333688222594
140,4,46,0.0,0.84,1.0,0.7642121044678257
141,5,1,2.0,1.0,0.0,0.00990099157789989
142,5,2,0.0,0.0,1.0,0.00990099157789989
143,5,2,3.0,1.0,1.0,0.6735841552321062
144,5,3,0.0,0.0,0.0,0.673584155232106
145,5,4,1.0,0.5,0.0,0.042943692401363975
146,5,4,2.0,1.0,0.5,0.042943692401363975
147,5,5,1.0,0.42,0.38,0.03656886703451993
148,5,5,2.0,0.48,0.58,0.014200830111953987
149,5,5,3.0,0.5,1.0,0.042943692401363975
150,5,6,2.0,0.76,0.26,0.010183731850888764
151,5,7,0.0,0.0,0.52,0.033703691952778746
152,5,7,1.0,0.0,0.3,0.374137967142668
153,5,7,2.0,0.78,0.7000000000000001,0.3434550221979069
154,5,7,3.0,0.78,0.76,0.5115019153603156
155,5,8,1.0,0.24,0.08,0.6735841554674471
156,5,8,3.0,0.32,1.0,0.010871133262801782
157,5,9,2.0,0.2,0.74,0.010158174307954107
158,5,10,0.0,0.22,0.46,0.06548180849108745
159,5,13,1.0,0.76,0.0,0.010034331625259546
160,5,13,3.0,1.0,0.24,0.010034331625259546
161,5,14,0.0,0.0,0.74,0.010125326091911706
162,5,15,2.0,0.72,1.0,0.4339312196527251
163,5,16,2.0,0.5,0.8,0.04294592663312365
164,5,17,2.0,0.68,0.46,0.017818336416763572
165,5,22,0.0,0.22,0.26,0.4547810975442975
166,5,28,3.0,1.0,0.76,0.5576432389641515
167,5,34,3.0,0.86,0.42,0.019464148702814137
168,5,43,1.0,0.52,0.18,0.03548242892252111
169,6,1,3.0,0.0,1.0,0.00990099157789989
170,6,2,0.0,1.0,0.0,0.00990099157789989
171,6,2,2.0,0.7000000000000001,0.0,0.01050608403594439
172,6,3,2.0,0.6,0.64,0.05226348745461442
173,6,4,2.0,0.14,0.54,0.029863048679369744
174,6,4,3.0,1.0,1.0,0.6735841552321062
175,6,5,1.0,0.0,0.0,0.673584155232106
176,6,6,1.0,0.38,0.22,0.1646503697051507
177,6,6,3.0,0.44,1.0,0.021673807954836862
178,6,8,0.0,1.0,0.46,0.02677537418904204
179,6,8,2.0,0.68,0.3,0.010714107102437509
180,6,9,0.0,0.9,0.68,0.3859820529866306
181,6,9,1.0,0.0,0.3,0.374137967142668
182,6,9,3.0,0.72,1.0,0.4339312196527251
183,6,11,0.0,0.3,0.74,0.010467007408230184
184,6,12,2.0,0.32,0.0,0.31781009255679465
185,6,12,3.0,0.2,1.0,0.00994586732240386
186,6,13,0.0,1.0,0.22,0.009978977047726396
187,6,15,1.0,0.0,0.72,0.010272394197649252
188,6,15,3.0,0.6,0.84,0.16219377643729602
189,6,19,2.0,0.4,0.46,0.0222931354696453
190,6,20,1.0,0.16,0.18,0.8205254718268934
191,6,21,2.0,0.52,0.0,0.033703691952778746
192,6,22,0.0,1.0,0.8,0.6735841552371565
193,6,22,1.0,0.0,0.52,0.033703691952778746
194,6,28,2.0,0.62,0.14,0.014199345817873181
195,6,30,1.0,0.2,0.36,0.21962767024944094
196,6,40,3.0,0.84,0.86,0.9022032503250776
197,6,43,0.0,0.84,0.18,0.009945056883617073
198,6,44,0.0,0.8200000000000001,0.46,0.02803747012331017
199,6,46,3.0,0.36,0.88,0.012782215343829678
200,7,2,0.0,0.0,1.0,0.00990099157789989
201,7,2,1.0,1.0,0.0,0.00990099157789989
202,7,2,3.0,1.0,1.0,0.6735841552321062
203,7,3,0.0,0.0,0.5,0.042943692401363975
204,7,3,2.0,0.0,0.0,0.673584155232106
205,7,3,3.0,1.0,0.5,0.042943692401363975
206,7,4,2.0,0.48,0.0,0.055042484671396025
