,SimNum,Iteration,Loss
0,0,0,0.02389092079144177
1,0,1,0.0664581046652915
2,0,2,0.0246202617032261
3,0,3,0.01702155246239755
4,0,4,0.012767994722290902
5,0,5,0.009032135638287045
6,0,6,0.011996145716006552
7,0,7,0.007855946913709562
8,0,8,0.007910012647780294
9,0,9,0.013330816256615332
10,0,10,0.011288512479029763
11,0,11,0.006207918830172317
12,0,12,0.00836483019575614
13,0,13,0.006107835660668909
14,0,14,0.006082887520848356
15,0,15,0.006089047702396749
16,0,16,0.008459942577144193
17,0,17,0.006097922055946372
18,0,18,0.006085794289281769
19,0,19,0.006096523559382706
20,0,20,0.00610196509545809
21,0,21,0.006104406129884755
22,0,22,0.00610141716216517
23,0,23,0.006095355315776247
24,0,24,0.006095639515362043
25,0,25,0.006276249171124174
26,0,26,0.01941264068100307
27,0,27,0.00609861522338255
28,0,28,0.006086388200991548
29,0,29,0.006086443748507459
30,0,30,0.006101828243889333
31,0,31,0.006091649556982852
32,0,32,0.006091492395212496
33,0,33,0.006095064445757073
34,0,34,0.006095064445757074
35,0,35,0.006095064445757074
36,0,36,0.006268090215084827
37,0,37,0.006094341628832937
38,0,38,0.006094341628832937
39,0,39,0.006094341628832937
40,0,40,0.006094341628832937
41,0,41,0.008430547156955327
42,0,42,0.006095211639441027
43,0,43,0.006095211639441024
44,0,44,0.00858472091325237
45,0,45,0.006122897659901084
46,0,46,0.006312489975606902
47,0,47,0.006202113972055866
48,0,48,0.006223627998191082
49,0,49,0.006257387959515366
50,1,0,0.011101517700355218
51,1,1,0.0114454639997145
52,1,2,0.014993865691867298
53,1,3,0.008352325127896167
54,1,4,0.007886761658015681
55,1,5,0.011038673354621255
56,1,6,0.011094847166038632
57,1,7,0.007315496805632945
58,1,8,0.016785547451930668
59,1,9,0.0076558144327742595
60,1,10,0.007754704692054207
61,1,11,0.013347611695593908
62,1,12,0.007655941755163069
63,1,13,0.007737951711359442
64,1,14,0.007823983727416453
65,1,15,0.0079045192134739
66,1,16,0.007968508435301223
67,1,17,0.008043727411059326
68,1,18,0.010951146827331242
69,1,19,0.006485902108351562
70,1,20,0.006273527385423771
71,1,21,0.019377251887499024
72,1,22,0.008523040345069587
73,1,23,0.0062867961531477105
74,1,24,0.00611238812119628
75,1,25,0.006104189106006987
76,1,26,0.0061177252384650195
77,1,27,0.006124955432583667
78,1,28,0.006115393518936891
79,1,29,0.0061129790512936336
80,1,30,0.006109548488640217
81,1,31,0.006109548488640216
82,1,32,0.0061095484886402145
83,1,33,0.00610954848864022
84,1,34,0.008353269605165563
85,1,35,0.006102761919288511
86,1,36,0.006092234119848945
87,1,37,0.00609827374216669
88,1,38,0.006100844131704825
89,1,39,0.00609568081083337
90,1,40,0.006094760348869737
91,1,41,0.006098835472136948
92,1,42,0.006098068213433916
93,1,43,0.006098068213433916
94,1,44,0.006098068213433916
95,1,45,0.006098068213433916
96,1,46,0.006098068213433916
97,1,47,0.006098068213433916
98,1,48,0.006098068213433916
99,1,49,0.0062536705136016744
100,2,0,0.009242895820334067
101,2,1,0.011065982490525539
102,2,2,0.014720126903044577
103,2,3,0.013093956046131545
104,2,4,0.007509824703901406
105,2,5,0.007308066201656928
106,2,6,0.007394989693291651
107,2,7,0.011359159679569616
108,2,8,0.011594776016488029
109,2,9,0.012286253073930104
110,2,10,0.007402737116237786
111,2,11,0.012171113595021842
112,2,12,0.0072062145845943875
113,2,13,0.011159693083661203
114,2,14,0.0062092785935661705
115,2,15,0.008442813821698068
116,2,16,0.019702540888842806
117,2,17,0.006082545898503046
118,2,18,0.006084406647885547
119,2,19,0.006072011885765202
120,2,20,0.0060752233964986475
121,2,21,0.006067158535251519
122,2,22,0.006080126319288908
123,2,23,0.006064814234396443
124,2,24,0.006075103192241726
125,2,25,0.006077225895805628
126,2,26,0.006080430983961203
127,2,27,0.0060771945780002876
128,2,28,0.0060771945780002876
129,2,29,0.006077194578000286
130,2,30,0.0060771945780002876
131,2,31,0.0060771945780002876
132,2,32,0.0060771945780002876
133,2,33,0.008423265447465363
134,2,34,0.006242265432399183
135,2,35,0.006068479866854135
136,2,36,0.00845253482151655
137,2,37,0.006052234837062626
138,2,38,0.00603831281403096
139,2,39,0.006052469034690257
140,2,40,0.006054806245235209
141,2,41,0.006046730346034441
142,2,42,0.006045714461041445
143,2,43,0.006045714461041443
144,2,44,0.00620202313917856
145,2,45,0.0060456971866230825
146,2,46,0.006045697186623079
147,2,47,0.00604569718662308
148,2,48,0.00604569718662308
149,2,49,0.00604569718662308
150,3,0,0.00960745576999638
151,3,1,0.0703331809323084
152,3,2,0.01411592941495251
153,3,3,0.02488131477205629
154,3,4,0.010597253814192896
155,3,5,0.011015534983319685
156,3,6,0.014068266598670786
157,3,7,0.020485126510356617
158,3,8,0.007594792704511433
159,3,9,0.007076265043439998
160,3,10,0.006929910624944309
161,3,11,0.007044785261012163
162,3,12,0.007176793051770863
163,3,13,0.007277764940578989
164,3,14,0.007365167704784639
165,3,15,0.007407689653511629
166,3,16,0.020010319074903075
167,3,17,0.007462210594377838
168,3,18,0.007490814993016726
169,3,19,0.0074904779632425905
170,3,20,0.007642472048597292
171,3,21,0.007503536585285459
172,3,22,0.007509689815401557
173,3,23,0.007505681484683833
174,3,24,0.00752992813075132
175,3,25,0.007529928130751318
176,3,26,0.007529928130751318
177,3,27,0.007529928130751318
178,3,28,0.011551769734504636
179,3,29,0.0063797643611730945
180,3,30,0.006258105883658011
181,3,31,0.008538524640596
182,3,32,0.006209659035785438
183,3,33,0.0061753890101435786
