,SimNum,Iteration,Agent,X,Y,XMax,YMax,VarMax,Var0,XCentroid,YCentroid,ProbExplore,Explore
0,0,0,0,0.6102753069550522,0.5978998431745611,1.0,0.5978998431745611,0.04633386587512715,0.0811829545428642,0.6633844181776467,0.7046683833186916,0.5707339198977182,True
1,0,0,1,0.01520085165373164,0.3164839983117047,0.0,0.3164839983117047,0.04633386587512716,0.0811829545428642,0.18887305901213486,0.21440236448831226,0.5707339198977183,True
2,0,0,2,0.9084514719797656,0.3496822217274238,1.0,0.3496822217274238,0.04633386587512715,0.0811829545428642,0.7811930525344186,0.37568946068074305,0.5707339198977182,True
3,0,0,3,0.03188275284688824,0.7622877969496616,0.0,0.7622877969496616,0.04633386587512716,0.0811829545428642,0.22289457207061575,0.6694630968711356,0.5707339198977183,False
4,0,1,0,1.0,1.0,0.42,1.0,0.045644408332127004,0.0811829545428642,0.7538618590853967,0.7996326549723192,0.562241280686908,False
5,0,1,1,0.0,0.0,0.5,0.0,0.04508921193846944,0.0811829545428642,0.2138866628158951,0.18876258561598128,0.5554024510731813,True
6,0,1,2,1.0,0.0,1.0,0.0,0.04508921193846944,0.0811829545428642,0.7452080783434085,0.3429426578943701,0.5554024510731813,True
7,0,1,3,0.22289457207061575,0.6694630968711356,0.0,0.6694630968711356,0.04632958070273055,0.0811829545428642,0.2696862912233168,0.6085357458883873,0.5706811357582307,False
8,0,2,0,0.7538618590853967,0.7996326549723192,0.4,0.7996326549723192,0.04567103296194904,0.0811829545428642,0.7743132782904782,0.8299962110921495,0.5625692390615687,False
9,0,2,1,0.5,0.0,0.0,0.0,0.04448795857828423,0.0811829545428642,0.18075496750224773,0.18297575119466314,0.5479962983460377,True
10,0,2,2,1.0,0.5,0.54,0.5,0.04437938564289259,0.0811829545428642,0.6569079440885516,0.4116955896513983,0.5466589124871095,False
11,0,2,3,0.2696862912233168,0.6085357458883873,0.0,0.6085357458883873,0.04632720234602938,0.0811829545428642,0.29864206236779567,0.5893166562083545,0.57065183950122,False
12,0,3,0,0.7743132782904782,0.8299962110921495,0.4,0.8299962110921495,0.0456687698018773,0.0811829545428642,0.7845370749899553,0.8412508557598153,0.562541361780131,True
13,0,3,1,0.0,0.42,0.38,0.42,0.04042769020654841,0.0811829545428642,0.17727233052428468,0.15990938222161774,0.49798249440654185,True
14,0,3,2,0.6569079440885516,0.4116955896513983,0.54,0.4116955896513983,0.04462790324130277,0.0811829545428642,0.6287888845893459,0.4407189950374944,0.5497201166500963,True
15,0,3,3,0.29864206236779567,0.5893166562083545,0.0,0.5893166562083545,0.04625061444210582,0.0811829545428642,0.3780168922749967,0.5998962433529417,0.5697084406762472,True
16,0,4,0,0.4,1.0,0.7000000000000001,1.0,0.031420314093504986,0.0811829545428642,0.8257617350524262,0.8489397178292766,0.387030926263163,True
17,0,4,1,0.38,0.34,0.24,0.34,0.021990347611423988,0.0811829545428642,0.16340803775257673,0.15333802122695767,0.27087395051399854,False
18,0,4,2,0.54,0.62,0.74,0.62,0.03527352594173558,0.0811829545428642,0.6741144100232122,0.4940645066893184,0.4344942376187027,False
19,0,4,3,0.0,1.0,0.18,1.0,0.0342306560578192,0.0811829545428642,0.2975264273474628,0.5612413747762581,0.42164831583883267,False
20,0,5,0,0.7000000000000001,1.0,0.86,1.0,0.02503595551425148,0.0811829545428642,0.8266234174263309,0.8579157594840353,0.3083893122050962,False
21,0,5,1,0.16340803775257673,0.15333802122695767,0.24,0.15333802122695767,0.021989942508903446,0.0811829545428642,0.16493642585030463,0.14516380665167103,0.27086896051920434,False
22,0,5,2,0.6741144100232122,0.4940645066893184,0.74,0.4940645066893184,0.035273504080085054,0.0811829545428642,0.7184364340616323,0.5670606787915339,0.43449396833002446,True
23,0,5,3,0.2975264273474628,0.5612413747762581,0.18,0.5612413747762581,0.03387885035453206,0.0811829545428642,0.22955423082964296,0.4788691061019196,0.417314823601846,False
24,0,6,0,0.8266234174263309,0.8579157594840353,0.84,0.8579157594840353,0.024894834907160227,0.0811829545428642,0.8269607702942869,0.8720487531527226,0.30665100879047064,False
25,0,6,1,0.16493642585030463,0.14516380665167103,0.24,0.14516380665167103,0.021396979869513416,0.0811829545428642,0.16552474843112513,0.13038652341708337,0.2635649317027002,False
26,0,6,2,0.74,0.26,0.8,0.26,0.023723504964646078,0.0811829545428642,0.7494331523043049,0.5888550741518156,0.2922227344179767,False
27,0,6,3,0.22955423082964296,0.4788691061019196,0.18,0.4788691061019196,0.03379798028786975,0.0811829545428642,0.19499344282248768,0.39729710120296313,0.41631867770991976,False
28,0,7,0,0.8269607702942869,0.8720487531527226,0.84,0.8720487531527226,0.024894834907160227,0.0811829545428642,0.8266819525857734,0.8806707898143806,0.30665100879047064,False
29,0,7,1,0.16552474843112513,0.13038652341708337,0.24,0.13038652341708337,0.021396979869513416,0.0811829545428642,0.16533291520798718,0.11369343357380043,0.2635649317027002,False
30,0,7,2,0.7494331523043049,0.5888550741518156,0.8200000000000001,0.5888550741518156,0.024593551050774723,0.0811829545428642,0.7689465923126828,0.6070841708028125,0.3029398374235006,False
31,0,7,3,0.19499344282248768,0.39729710120296313,0.18,0.39729710120296313,0.03379798028786975,0.0811829545428642,0.18770304082117792,0.3661474734097924,0.41631867770991976,True
32,0,8,0,0.8266819525857734,0.8806707898143806,0.84,0.8806707898143806,0.024816636753894394,0.0811829545428642,0.8247910354960045,0.8872991226416496,0.3056877751448592,False
