,SimNum,Iteration,Period,Fidelity,Agent,X,Y,XMax,YMax,VarMax,Var0,XCentroid,YCentroid,ProbExplore,Explore,Distance
0,0,0,0,S,0,0.6566836225839318,0.6590876602916889,0.54,0.6590876602916889,0.07931693753711708,0.07931693753711708,0.8141030927835049,0.40787628865979414,0.0,0.0,0.0
1,0,0,0,S,1,0.4146640935832985,0.4954473146758006,0.04,0.4954473146758006,0.07931693753711708,0.07931693753711708,0.4614824447334203,0.20462938881664525,0.0,0.0,0.0
2,0,0,0,S,2,0.6485170021736557,0.7676702353027165,0.62,0.7676702353027165,0.07931693753711708,0.07931693753711708,0.7003448275862072,0.780689655172414,0.0,0.0,0.0
3,0,0,0,S,3,0.4313586387401057,0.5441202422706226,0.34,0.5441202422706226,0.07931693753711708,0.07931693753711708,0.45365384615384674,0.5948076923076924,0.0,0.0,0.0
4,0,0,0,S,4,0.9650506796829649,0.8321267724002711,0.8200000000000001,0.8321267724002711,0.07931693753711708,0.07931693753711708,0.9320999999999989,0.7595999999999999,0.0,0.0,0.0
5,0,0,0,S,5,0.7169979914899987,0.9330113208091327,0.46,0.9330113208091327,0.07931693753711708,0.07931693753711708,0.7017777777777775,0.9352592592592589,0.0,0.0,0.0
6,0,0,0,S,6,0.5915868655643596,0.7631486804771355,0.28,0.7631486804771355,0.07931693753711708,0.07931693753711708,0.4603980099502491,0.8450746268656711,0.0,0.0,0.0
7,0,0,0,S,7,0.2217226173615623,0.5957606038303827,0.0,0.5957606038303827,0.07931693753711708,0.07931693753711708,0.13756548536209567,0.6011402157164873,0.0,0.0,0.0
8,0,1,0,S,0,1.0,0.26,1.0,0.26,0.0680218362973325,0.07931693753711708,0.863863759805371,0.3102675348910401,1.0,1.0,0.5264381213392384
9,0,1,0,S,1,0.74,0.0,0.0,0.0,0.07931229952504905,0.07931693753711708,0.3319956935531939,0.15432475249699013,1.0,1.0,0.5927153563249721
10,0,1,0,S,2,0.74,0.74,0.56,0.74,0.05939155528198592,0.07931693753711708,0.705924579601087,0.7072534076985346,1.0,1.0,0.0955760472765149
11,0,1,0,S,3,0.5,0.5,0.3,0.5,0.07100972577681387,0.07931693753711708,0.4305695677928378,0.5586316377699166,1.0,1.0,0.08159799172546926
12,0,1,0,S,4,1.0,0.76,1.0,0.76,0.06648695884500928,0.07931693753711708,0.9315730228319609,0.7387228240662895,1.0,1.0,0.08014815211533721
13,0,1,0,S,5,0.74,1.0,0.56,1.0,0.062422882103255,0.07931693753711708,0.724299764252369,0.9425563224578747,1.0,1.0,0.07082778787475369
14,0,1,0,S,6,0.4603980099502491,0.8450746268656711,0.3,0.8450746268656711,0.06950489844961798,0.07931693753711708,0.33723411388092106,0.8923973184624098,0.0,0.0,0.15466860227272097
15,0,1,0,S,7,0.26,1.0,0.0,1.0,0.079282132148372,0.07931693753711708,0.1100333698115529,0.6061516385939345,1.0,1.0,0.4060475925765676
16,0,2,0,S,0,1.0,0.0,0.58,0.0,0.05973687256570796,0.07931693753711708,0.8460045147585865,0.29508352612844885,1.0,1.0,0.26
17,0,2,0,S,1,0.76,0.24,0.0,0.24,0.07931201370660436,0.07931693753711708,0.2561885259531893,0.15820888219145,1.0,1.0,0.2408318915758459
18,0,2,0,S,2,0.705924579601087,0.7072534076985346,0.68,0.7072534076985346,0.05626850853464174,0.07931693753711708,0.7135620050928043,0.6284671236120869,0.0,0.0,0.04725964010359205
19,0,2,0,S,3,0.4305695677928378,0.5586316377699166,0.26,0.5586316377699166,0.07162018824147273,0.07931693753711708,0.42560494409622435,0.5004413635830681,0.0,0.0,0.09087493529051927
20,0,2,0,S,4,1.0,0.5,1.0,0.5,0.06646978064138374,0.07931693753711708,0.9363474714043573,0.7126470247009778,1.0,1.0,0.26
21,0,2,0,S,5,0.5,1.0,0.98,1.0,0.06528787259705943,0.07931693753711708,0.7584179773842346,0.9410504419030441,1.0,1.0,0.24
22,0,2,0,S,6,0.33723411388092106,0.8923973184624098,0.0,0.8923973184624098,0.07160066094079735,0.07931693753711708,0.24414576377660485,0.9024559612695451,0.0,0.0,0.13194234511685882
23,0,2,0,S,7,0.24,0.76,0.0,0.76,0.07909139633660428,0.07931693753711708,0.0989918751720066,0.5804110305242705,1.0,1.0,0.2408318915758459
24,0,3,0,S,0,0.8460045147585865,0.29508352612844885,0.6,0.29508352612844885,0.061114190538332634,0.07931693753711708,0.82410552584602,0.26817453293690535,0.0,0.0,0.3328496610590693
25,0,3,0,S,1,0.26,0.26,0.0,0.26,0.07743868769623091,0.07931693753711708,0.23915652917339467,0.15962210777021307,1.0,1.0,0.5003998401278722
26,0,3,0,S,2,0.7135620050928043,0.6284671236120869,0.7000000000000001,0.6284671236120869,0.05596463868013103,0.07931693753711708,0.7170878920800171,0.5721471563132875,0.0,0.0,0.07915559884361925
27,0,3,0,S,3,0.42560494409622435,0.5004413635830681,0.54,0.5004413635830681,0.059441408451137656,0.07931693753711708,0.4135238370086453,0.445208988716908,0.0,0.0,0.058401673763596756
28,0,3,0,S,4,1.0,1.0,0.86,1.0,0.05164350333961383,0.07931693753711708,0.9385329469288445,0.6607491665174918,1.0,1.0,0.5
29,0,3,0,S,5,0.7584179773842346,0.9410504419030441,0.52,0.9410504419030441,0.05300183318025509,0.07931693753711708,0.7121491692324619,0.9357349759329544,0.0,0.0,0.26505641179791356
30,0,3,0,S,6,0.24414576377660485,0.9024559612695451,0.0,0.9024559612695451,0.0715998221835903,0.07931693753711708,0.21074599030929073,0.8886099685901584,0.0,0.0,0.09363021531677305
31,0,3,0,S,7,0.3,0.52,0.0,0.52,0.07235237033877295,0.07931693753711708,0.1041687528156846,0.5386008570415891,1.0,1.0,0.24738633753705963
32,0,4,0,S,0,0.82410552584602,0.26817453293690535,0.58,0.26817453293690535,0.0608972393136772,0.07931693753711708,0.8215365708342076,0.24723448287845773,0.0,0.0,0.03469379814859197
