,SimNum,Iteration,Loss
0,0,0,0.05438401299054366
1,0,1,0.06322461042397175
2,0,2,0.009138982776990892
3,0,3,0.006989262988277396
4,0,4,0.006155094784971109
5,0,5,0.017247742252801585
6,0,6,0.010510958063637103
7,0,7,0.005671444685935004
8,0,8,0.03580131773550401
9,0,9,0.006077137938805948
10,0,10,0.005695583132073716
11,0,11,0.044668057846701435
12,0,12,0.005570203292407143
13,0,13,0.005539850796625575
14,0,14,0.005526133615248053
15,0,15,0.005508779788136542
16,0,16,0.015653793196907705
17,0,17,0.005471513860371955
18,0,18,0.005458632478489607
19,0,19,0.005605264088447531
20,0,20,0.006174577041937465
21,0,21,0.005402300949653023
22,0,22,0.005910408989882827
23,0,23,0.005414529515855531
24,0,24,0.005417285303796071
25,0,25,0.005413769885812675
26,0,26,0.005418361201332108
27,0,27,0.005421273326867434
28,0,28,0.005421244020607473
29,0,29,0.00542543654289687
30,0,30,0.005430197190974281
31,0,31,0.005872494554213431
32,0,32,0.0065931901657416015
33,0,33,0.00592172933375351
34,0,34,0.005373743123758974
35,0,35,0.005369351196418185
36,0,36,0.005374614194876689
37,0,37,0.005373847170751041
38,0,38,0.005374329951118796
39,0,39,0.0053742069380791156
40,0,40,0.005374329951118798
41,0,41,0.005374206938079118
42,0,42,0.005374329951118798
43,0,43,0.005374206938079118
44,0,44,0.005374329951118798
45,0,45,0.008532101858591948
46,0,46,0.005374231627210443
47,0,47,0.005374211883223695
48,0,48,0.005374211883223696
49,0,49,0.005374211883223696
50,1,0,0.038415849192487146
51,1,1,0.0655803003146137
52,1,2,0.032629755313809766
53,1,3,0.016296349466042578
54,1,4,0.006086335521910778
55,1,5,0.030012299566416677
56,1,6,0.008391319435914162
57,1,7,0.007576126063394806
58,1,8,0.005904018617002625
59,1,9,0.007742664630516399
60,1,10,0.005960084497915314
61,1,11,0.005819256440319266
62,1,12,0.006005066357550662
63,1,13,0.005629030913194005
64,1,14,0.005598260310970578
65,1,15,0.00558433803758214
66,1,16,0.009168798328608792
67,1,17,0.006756757601573312
68,1,18,0.005490223121202669
69,1,19,0.006029894208504067
70,1,20,0.005478695031354692
71,1,21,0.005472922831232855
72,1,22,0.0054751474772595475
73,1,23,0.006422042453634596
74,1,24,0.005454044588898201
75,1,25,0.00818529361783439
76,1,26,0.005997311398278473
77,1,27,0.005470306678207609
78,1,28,0.005448267193378362
79,1,29,0.005460721141826191
80,1,30,0.005447066262387833
81,1,31,0.006725343537963799
82,1,32,0.0053632007821632815
83,1,33,0.005371528888597355
84,1,34,0.005375764224034104
85,1,35,0.00538406856274904
86,1,36,0.00538692500194101
87,1,37,0.005392598984275537
88,1,38,0.005394111144318137
89,1,39,0.005398160013820016
90,1,40,0.005397880485940544
91,1,41,0.005400386563983704
92,1,42,0.005404518229179954
93,1,43,0.005405718580880131
94,1,44,0.0054057185808801325
95,1,45,0.005405718580880133
96,1,46,0.005405718580880131
97,1,47,0.005405718580880131
98,1,48,0.005405718580880131
99,1,49,0.005405718580880131
100,2,0,0.024421593688968426
101,2,1,0.04291534177196841
102,2,2,0.04888338878128506
103,2,3,0.0177450126448081
104,2,4,0.017415364637856492
105,2,5,0.0059331548021936365
106,2,6,0.00578561816975185
107,2,7,0.010861611335960189
108,2,8,0.005787841329696255
109,2,9,0.005849240790352408
110,2,10,0.005596598571885618
111,2,11,0.0056193102360943764
112,2,12,0.005490596487188156
113,2,13,0.005484305413033914
114,2,14,0.005489192379762952
115,2,15,0.0055056432628540885
116,2,16,0.00886852161829395
117,2,17,0.005398099671074933
118,2,18,0.005868631463936844
119,2,19,0.005799467990123136
120,2,20,0.026922557567873352
121,2,21,0.0054114399735314695
122,2,22,0.005385437573142561
123,2,23,0.005397121141323809
124,2,24,0.0054045873745332505
125,2,25,0.0054034347288652055
126,2,26,0.005417480693122291
127,2,27,0.005417481204927201
128,2,28,0.00543630810553616
129,2,29,0.0054380949918042135
130,2,30,0.005436487392948958
131,2,31,0.005432992897076868
132,2,32,0.005426939496819283
133,2,33,0.0054171833358126415
134,2,34,0.00540770888094798
135,2,35,0.00540395520005376
136,2,36,0.0054015158138194545
137,2,37,0.0053963190578198905
138,2,38,0.005394654121280961
139,2,39,0.005390909846272621
140,2,40,0.005388935476007587
141,2,41,0.005385313495047962
142,2,42,0.0060211134633651395
143,2,43,0.0053929756612351755
144,2,44,0.005405319188196048
145,2,45,0.005407032394767075
146,2,46,0.005423721588114643
147,2,47,0.0054381231464250045
148,2,48,0.005440540633811586
149,2,49,0.005444935623242018
150,3,0,0.028489771598314062
151,3,1,0.0859412627425349
152,3,2,0.08409260625579436
153,3,3,0.027644970339056628
154,3,4,0.006128345922404175
155,3,5,0.005829309375837461
156,3,6,0.005594513134427335
157,3,7,0.0055464045173493765
158,3,8,0.012597191391493718
159,3,9,0.007130550335182382
160,3,10,0.005470295179587492
161,3,11,0.008884960999676249
162,3,12,0.00546118612899456
163,3,13,0.0058519676851398845
164,3,14,0.005477922575412602
165,3,15,0.0059876125914160045
166,3,16,0.005407898077599453
167,3,17,0.012089475166129467
168,3,18,0.0054099660080217625
169,3,19,0.005439487737223315
170,3,20,0.005467280062112817
171,3,21,0.00549877983530676
172,3,22,0.005515979470035805
173,3,23,0.0055310586266009544
174,3,24,0.00554667312195739
175,3,25,0.005555945234232491
176,3,26,0.005565679039050899
177,3,27,0.005570840396591905
178,3,28,0.0055870549357180535
179,3,29,0.005591819078390305
180,3,30,0.005981617994802162
181,3,31,0.006274156588589478
182,3,32,0.005515086848049576
183,3,33,0.005476390034034615
