,SimNum,Iteration,Period,Fidelity,Agent,X,Y,Sample
0,0,1,0,S,0.0,0.74,1.0,0.3937404557691506
1,0,1,0,S,1.0,1.0,0.76,-0.5636057868471754
2,0,1,0,S,2.0,0.0,0.74,0.5794368431208066
3,0,1,0,S,4.0,0.74,0.0,-0.09987862879287085
4,0,1,0,S,5.0,0.3,0.52,-0.6300741711648743
5,0,1,0,S,6.0,0.26,1.0,0.9309434031136989
6,0,1,0,S,7.0,0.26,0.0,0.7152852808639473
7,0,2,0,S,0.0,0.24,0.76,-0.31882655278539507
8,0,2,0,S,1.0,1.0,0.26,-0.18384158090266706
9,0,2,0,S,4.0,0.26,0.26,0.36622123766386705
10,0,2,0,S,7.0,0.0,0.24,0.1602444569553803
11,0,3,0,S,1.0,0.76,0.24,0.24874074964048576
12,0,4,0,S,1.0,0.74,0.74,0.1047273482521406
13,0,9,1,S,0.0,0.74,1.0,-0.40213716844244357
14,0,9,1,S,1.0,1.0,0.0,0.7612846110198896
15,0,9,1,S,2.0,0.0,0.44,0.13702419197319698
16,0,9,1,S,3.0,1.0,0.56,0.17692208570272167
17,0,9,1,S,4.0,0.7000000000000001,0.0,0.2740826237868278
18,0,9,1,S,5.0,0.28,0.36,0.9114764365669814
19,0,9,1,S,6.0,0.3,1.0,0.4186062414184041
20,0,9,1,S,7.0,0.0,0.28,0.660381932176398
21,0,10,1,S,0.0,0.6,1.0,0.1718307725807734
22,0,10,1,S,1.0,1.0,0.28,0.36258178842350525
23,0,10,1,S,3.0,1.0,0.72,-0.353485681221785
24,0,10,1,S,4.0,0.4,0.0,0.8248935610251072
25,0,10,1,S,6.0,0.0,1.0,0.566851878915488
26,0,10,1,S,7.0,0.26,0.0,0.0891568865880088
27,0,11,1,S,0.0,0.5,0.76,0.3627747815547023
28,0,11,1,S,1.0,1.0,0.0,0.46576125941014296
29,0,11,1,S,3.0,1.0,1.0,0.5090058785719639
30,0,11,1,S,4.0,0.5,0.24,0.7182022323907379
31,0,11,1,S,6.0,0.0,1.0,0.46115940456129767
32,0,11,1,S,7.0,0.0,0.0,1.2189775054661887
33,0,12,1,S,3.0,1.0,1.0,-0.5906339752803835
34,0,12,1,S,4.0,0.64,0.3,1.1692880615619907
35,0,12,1,S,6.0,0.0,0.72,0.13530165950759485
36,0,12,1,S,7.0,0.0,0.0,0.08959723558805724
37,0,13,1,S,3.0,0.72,0.64,0.03698309589471484
38,0,13,1,S,6.0,0.36,0.7000000000000001,0.19453394689146575
39,0,14,1,S,3.0,0.7000000000000001,0.48,-0.039218904906499735
40,0,25,2,S,0.0,1.0,1.0,-0.7050456364865245
41,0,25,2,S,1.0,0.78,0.0,-0.1548360579047502
42,0,25,2,S,2.0,0.0,0.44,1.1628945311716925
43,0,25,2,S,3.0,1.0,0.56,0.3217818343019491
44,0,25,2,S,4.0,0.62,0.0,-0.7599017913825536
45,0,25,2,S,5.0,0.5,0.5,-1.0690087705096425
46,0,25,2,S,6.0,0.22,1.0,0.260168311909688
47,0,25,2,S,7.0,0.0,0.0,1.307799660803732
48,0,26,2,S,0.0,1.0,1.0,-0.4368047265356305
49,0,26,2,S,1.0,0.76,0.22,1.0540504281914291
50,0,26,2,S,2.0,0.26,0.46,0.40175635611603383
51,0,26,2,S,3.0,1.0,0.76,0.05763940991076532
52,0,26,2,S,4.0,0.54,0.26,0.18197369889202786
53,0,26,2,S,5.0,0.5,0.5,1.2420993425124311
54,0,26,2,S,6.0,0.24,0.78,0.6292387162129001
55,0,26,2,S,7.0,0.0,0.24,-0.11103038312363189
56,0,27,2,S,0.0,0.78,0.78,0.20475554880535504
57,0,27,2,S,1.0,1.0,0.24,0.8229031978655428
58,0,27,2,S,2.0,0.22,0.6,-0.07566518200305361
59,0,27,2,S,3.0,0.74,0.54,0.9811372857350719
60,0,27,2,S,4.0,0.44,0.0,0.6841755894907059
61,0,27,2,S,6.0,0.0,0.76,0.7259815014585722
62,0,27,2,S,7.0,0.22,0.22,0.62176858991652
63,0,28,2,S,0.0,0.68,0.76,-0.593828595285563
64,0,28,2,S,1.0,1.0,0.0,0.6711443723707406
65,0,28,2,S,2.0,0.0,0.62,1.1497961769133838
66,0,28,2,S,3.0,0.78,0.4,0.16763851411713668
67,0,28,2,S,4.0,0.56,0.0,0.8911239415427777
68,0,28,2,S,6.0,0.0,1.0,0.19301555559257688
69,0,28,2,S,7.0,0.32,0.24,0.6827890086747629
70,0,29,2,S,0.0,0.46,0.74,0.16548507037630297
71,0,29,2,S,1.0,1.0,0.0,0.004930825503311975
72,0,29,2,S,3.0,1.0,0.38,0.568299782478298
73,0,29,2,S,6.0,0.0,1.0,0.11790581047888328
74,0,29,2,S,7.0,0.22,0.0,0.18841689680831386
75,0,30,2,S,0.0,0.38,1.0,0.5210656891265415
76,0,30,2,S,7.0,0.0,0.0,0.4248580706181203
77,0,31,2,S,0.0,0.44,1.0,-0.4031801130689041
78,0,32,2,S,0.0,0.56,1.0,1.087141205709788
79,0,33,2,S,0.0,0.78,1.0,-0.8041334129768609
80,0,57,3,S,0.0,0.48,0.76,-0.18346374081330258
81,0,57,3,S,1.0,1.0,0.0,0.7530122939336945
82,0,57,3,S,2.0,0.0,0.54,-0.0765645295082634
83,0,57,3,S,3.0,0.76,0.24,0.2507994257247791
84,0,57,3,S,4.0,0.52,0.24,-0.3855390080598303
85,0,57,3,S,5.0,0.5,0.5,0.16289807717078952
86,0,57,3,S,6.0,0.0,1.0,0.09416627724793412
87,0,57,3,S,7.0,0.24,0.0,0.0921248824403631
88,0,58,3,S,0.0,0.52,0.76,-0.2914045755462479
89,0,58,3,S,1.0,1.0,0.0,0.23574599529950327
90,0,58,3,S,2.0,0.24,0.54,0.2954943509438467
91,0,58,3,S,3.0,0.76,0.46,0.6812927107443134
92,0,58,3,S,4.0,0.48,0.26,0.4366934970629119
93,0,58,3,S,5.0,0.76,0.76,0.2168824741269491
94,0,58,3,S,6.0,0.0,1.0,-0.44666861764755006
95,0,58,3,S,7.0,0.24,0.0,0.09287385124649727
96,0,59,3,S,0.0,0.74,1.0,0.016062216825026062
97,0,59,3,S,1.0,1.0,0.0,0.12128778163554133
98,0,59,3,S,2.0,0.24,0.5,1.471631079658701
99,0,59,3,S,3.0,1.0,0.26,0.6660540952415346
100,0,59,3,S,4.0,0.48,0.24,0.03894487458290791
