X,Y,f_prior
0.0,0.0,0.45653074179420494
0.0,0.2,0.8209634064430724
0.0,0.4,1.2195997351171364
0.0,0.6000000000000001,1.0584707984284951
0.0,0.8,0.6446412161863758
0.0,1.0,0.20098086150838898
0.2,0.0,0.8792229777882704
0.2,0.2,0.7705448188007317
0.2,0.4,0.9747304626152923
0.2,0.6000000000000001,0.7699550531243275
0.2,0.8,0.08237325078215696
0.2,1.0,0.6611012923378969
0.4,0.0,1.4143805496633215
0.4,0.2,0.7955866567746961
0.4,0.4,1.456193036726697
0.4,0.6000000000000001,0.3621674694365868
0.4,0.8,0.27733093783820834
0.4,1.0,0.5674443047089099
0.6000000000000001,0.0,0.5293297916814874
0.6000000000000001,0.2,0.9188833023316672
0.6000000000000001,0.4,1.0123373769535065
0.6000000000000001,0.6000000000000001,0.45302544812672113
0.6000000000000001,0.8,0.22938416712596324
0.6000000000000001,1.0,0.46832675933303053
0.8,0.0,0.8391953745661974
0.8,0.2,1.126927537948968
0.8,0.4,0.24236834334967666
0.8,0.6000000000000001,0.18499402113566654
0.8,0.8,0.32527594827888423
0.8,1.0,0.43350283666433176
1.0,0.0,0.5725206235300225
1.0,0.2,1.0432856822686696
1.0,0.4,0.4010783687869153
1.0,0.6000000000000001,0.42928240044063365
1.0,0.8,0.4522988488462585
1.0,1.0,0.01818032254958492
