X,Y,f_H_train
0.34,0.74,0.02527648975972653
0.54,0.7000000000000001,0.042321785913804255
0.16,0.86,0.18791545744092505
0.92,0.68,0.07370822477773682
0.84,0.96,-0.027454465311532884
0.76,0.1,0.7151110562112681
0.66,0.36,0.27024277335667946
0.48,0.22,0.4679187162593962
0.6,0.48,0.3508026092165903
0.28,0.9400000000000001,0.09987027701001192
0.76,0.6,-0.07753527871746346
0.16,0.0,0.6861622106198051
0.96,0.06,0.5048796823115071
0.9400000000000001,0.16,0.6957045837986462
0.42,0.14,0.7340733679342947
0.3,0.66,0.07871828048270738
0.24,0.34,0.5608343595086445
0.22,0.8200000000000001,0.14419800569017344
0.1,0.54,0.22875935857490493
0.64,0.76,0.2689877996480019
0.92,0.16,0.6089121106828942
0.58,0.32,0.3795749789046467
0.08,1.0,0.1599326213385471
0.2,0.28,0.8512469547740796
0.7000000000000001,0.88,-0.11090537803339617
0.64,0.8,-0.007874359005909798
0.22,0.46,0.42571881763292313
0.26,0.52,0.31087984678078284
0.28,0.36,0.4195521542917265
0.66,0.7000000000000001,0.09332765173302832
0.22,0.2,0.875199460832193
0.62,0.3,0.2665589813392598
0.32,0.2,0.5815570993372783
0.38,0.88,0.07273994329371915
0.66,0.0,0.26114863767407576
0.56,0.6,-0.05200792614064406
0.84,0.52,0.1304824285680767
0.72,0.48,0.02082990268643431
0.0,0.6,0.08736565998288545
0.02,0.58,0.30290848102693263
0.54,0.52,0.16736274782693888
0.9,0.78,0.02780494120478777
0.02,0.06,0.4160758981659853
0.28,0.84,0.05423517117379985
0.22,0.66,0.07103330555962858
0.64,0.9,-0.07575385094027204
0.2,0.74,0.19453904401386063
0.26,0.96,-0.0011082070003397004
0.04,0.28,0.4616101096257824
0.1,0.02,0.5697442133569741
0.84,0.68,-0.0653278461785797
0.34,0.86,0.1566935065916122
0.8200000000000001,0.04,0.43759335922613724
0.26,0.68,0.08807277281361739
0.04,0.9400000000000001,0.3653603477133869
0.22,0.56,0.4243697779758727
0.48,0.8,0.11723414027811435
0.32,0.36,0.6493838707116356
0.9,0.46,0.2596040519715649
0.34,0.42,0.4772616443470632
0.48,0.96,0.04534062194935787
0.92,0.64,0.07879614793704057
