X,Y,f_L
0.0,0.0,0.6374405295053196
0.0,0.02,0.6537057451787464
0.0,0.04,0.6684352161406297
0.0,0.06,0.6815361701865903
0.0,0.08,0.6929294428168518
0.0,0.1,0.7025504698286869
0.0,0.12,0.7103500648391363
0.0,0.14,0.716294967199092
0.0,0.16,0.720368150498619
0.0,0.18,0.7225688868230435
0.0,0.2,0.7229125669687119
0.0,0.22,0.7214302818341997
0.0,0.24,0.7181681750379675
0.0,0.26,0.7131865813549593
0.0,0.28,0.7065589697012475
0.0,0.3,0.6983707130304306
0.0,0.32,0.6887177105575751
0.0,0.34,0.6777048901342785
0.0,0.36,0.6654446203198253
0.0,0.38,0.6520550627067987
0.0,0.4,0.6376584953632333
0.0,0.42,0.6223796378651225
0.0,0.44,0.606344007348128
0.0,0.46,0.5896763333568188
0.0,0.48,0.5724990570781326
0.0,0.5,0.5549309378882727
0.0,0.52,0.5370857871020903
0.0,0.54,0.5190713454795018
0.0,0.56,0.5009883175053191
0.0,0.58,0.48292957180749685
0.0,0.6,0.46497951340208854
0.0,0.62,0.44721362983428276
0.0,0.64,0.42969820980057893
0.0,0.66,0.41249022955628883
0.0,0.68,0.39563739939522946
0.0,0.7000000000000001,0.37917835978508363
0.0,0.72,0.3631430143929318
0.0,0.74,0.3475529852711991
0.0,0.76,0.3324221739150491
0.0,0.78,0.3177574107587116
0.0,0.8,0.30355917495180845
0.0,0.8200000000000001,0.28982236594021615
0.0,0.84,0.2765371084543501
0.0,0.86,0.26368957295868567
0.0,0.88,0.25126279441134275
0.0,0.9,0.23923747328756859
0.0,0.92,0.22759274419736347
0.0,0.9400000000000001,0.2163068990329212
0.0,0.96,0.20535805337089688
0.0,0.98,0.1947247467807739
0.0,1.0,0.18438646970588604
0.02,0.0,0.6636587357320586
0.02,0.02,0.6804681601654209
0.02,0.04,0.6956761862791253
0.02,0.06,0.709186538988357
0.02,0.08,0.7209171237343873
0.02,0.1,0.730801057846813
0.02,0.12,0.7387874779949553
0.02,0.14,0.744842108619625
0.02,0.16,0.7489475811687198
0.02,0.18,0.7511034991221187
0.02,0.2,0.7513262490466541
0.02,0.22,0.749648563132823
0.02,0.24,0.7461188436969005
0.02,0.26,0.7408002648580538
0.02,0.28,0.7337696709041787
0.02,0.3,0.7251162946411932
0.02,0.32,0.7149403221946776
0.02,0.34,0.7033513332354686
0.02,0.36,0.6904666473884438
0.02,0.38,0.6764096086335676
0.02,0.4,0.66130783981878
0.02,0.42,0.6452914989938637
0.02,0.44,0.6284915681800193
0.02,0.46,0.61103820346487
0.02,0.48,0.5930591730244084
0.02,0.5,0.5746784069006108
0.02,0.52,0.5560146791930061
0.02,0.54,0.5371804398466791
0.02,0.56,0.5182808095327764
