,SimNum,Iteration,Agent,X,Y,Sample
0,0,1,0.0,0.0,1.0,0.00990099157789989
1,0,1,1.0,1.0,1.0,0.6735841552321062
2,0,1,3.0,1.0,0.0,0.00990099157789989
3,0,2,1.0,1.0,0.32,0.010871133262801782
4,0,2,3.0,0.0,0.0,0.673584155232106
5,0,3,0.0,0.0,0.68,0.010871133262801782
6,0,3,1.0,0.68,1.0,0.3178100925567947
7,0,3,3.0,0.32,0.0,0.31781009255679465
8,0,4,1.0,1.0,0.66,0.2660615719830961
9,0,5,2.0,0.34,1.0,0.011431693414498158
10,0,6,0.0,0.0,0.34,0.266061571983096
11,0,7,2.0,0.34,0.66,0.011082540073508769
12,0,7,3.0,0.66,0.0,0.011431693414498158
13,0,9,0.0,0.34,0.34,0.10877429814504558
14,0,10,1.0,0.68,0.68,0.1527536846993393
15,0,12,0.0,0.0,0.16,0.7642121044678257
16,0,16,1.0,1.0,0.84,0.7642121044678257
17,0,22,3.0,0.66,0.32,0.010985540202990607
18,0,25,2.0,0.16,1.0,0.009915131611182898
19,0,26,0.0,0.5,0.0,0.042943692401363975
20,0,36,2.0,0.0,0.86,0.00990872616035144
21,0,41,0.0,0.14,0.0,0.7949961310621263
22,0,44,0.0,0.14,0.32,0.3741379784711683
23,0,46,3.0,1.0,0.14,0.00990872616035144
24,1,1,1.0,0.0,0.32,0.31781009255679465
25,1,2,0.0,0.0,1.0,0.00990099157789989
26,1,2,1.0,0.0,0.0,0.673584155232106
27,1,2,2.0,1.0,0.0,0.00990099157789989
28,1,3,0.0,0.34,1.0,0.011431693414498158
29,1,4,0.0,0.0,0.66,0.011431693414498158
30,1,5,2.0,1.0,0.32,0.010871133262801782
31,1,5,3.0,1.0,1.0,0.6735841552321062
32,1,6,2.0,0.64,0.0,0.012277784771448438
33,1,6,3.0,1.0,0.68,0.3178100925567947
34,1,8,0.0,0.34,0.68,0.010985540202990607
35,1,8,1.0,0.32,0.0,0.31781009255679465
36,1,8,3.0,0.66,1.0,0.2660615719830961
37,1,11,1.0,0.34,0.34,0.10877429814504558
38,1,11,2.0,0.68,0.32,0.010801123760840414
39,1,18,3.0,0.68,0.68,0.1527536846993393
40,1,21,2.0,0.8200000000000001,0.0,0.009926393971022324
41,1,21,3.0,1.0,0.5,0.042943692401363975
42,1,22,1.0,0.0,0.16,0.7642121044678257
43,1,23,0.0,0.16,1.0,0.009915131611182898
44,1,34,3.0,0.84,1.0,0.7642121044678257
45,1,49,0.0,0.0,0.84,0.009915131611182898
46,2,1,3.0,0.0,0.0,0.673584155232106
47,2,2,0.0,1.0,0.0,0.00990099157789989
48,2,2,3.0,0.0,0.34,0.266061571983096
49,2,3,3.0,0.34,0.0,0.266061571983096
50,2,4,1.0,0.0,1.0,0.00990099157789989
51,2,5,0.0,1.0,0.34,0.011431693414498158
52,2,5,1.0,0.34,1.0,0.011431693414498158
53,2,6,0.0,0.68,0.0,0.010871133262801782
54,2,7,2.0,1.0,1.0,0.6735841552321062
55,2,8,2.0,0.68,1.0,0.3178100925567947
56,2,9,2.0,1.0,0.66,0.2660615719830961
57,2,11,0.0,0.66,0.34,0.011082540073508769
58,2,11,1.0,0.0,0.66,0.011431693414498158
59,2,11,3.0,0.32,0.34,0.12874629445006106
60,2,13,1.0,0.32,0.68,0.010801123760840414
61,2,13,2.0,0.68,0.68,0.1527536846993393
62,2,15,2.0,1.0,0.84,0.7642121044678257
63,2,16,2.0,0.5,1.0,0.042943692401363975
64,2,33,3.0,0.16,0.0,0.7642121044678257
65,2,34,0.0,1.0,0.16,0.009915131611182898
66,2,36,3.0,0.0,0.16,0.7642121044678257
67,2,44,1.0,0.0,0.84,0.009915131611182898
68,3,1,1.0,0.0,1.0,0.00990099157789989
69,3,1,2.0,1.0,0.0,0.00990099157789989
70,3,2,1.0,0.0,0.0,0.673584155232106
71,3,2,2.0,0.66,0.0,0.011431693414498158
72,3,3,0.0,1.0,1.0,0.6735841552321062
73,3,3,1.0,0.0,0.68,0.010871133262801782
74,3,4,1.0,0.0,0.32,0.31781009255679465
75,3,4,2.0,0.34,0.0,0.266061571983096
76,3,6,0.0,0.68,1.0,0.3178100925567947
77,3,6,1.0,0.34,0.34,0.10877429814504558
78,3,6,3.0,1.0,0.68,0.3178100925567947
79,3,7,2.0,1.0,0.28,0.010272394197649252
80,3,7,3.0,1.0,0.34,0.011431693414498158
81,3,10,2.0,0.66,0.34,0.011082540073508769
82,3,16,1.0,0.0,0.5,0.042943692401363975
83,3,17,0.0,0.34,1.0,0.011431693414498158
84,3,20,2.0,0.84,0.0,0.009915131611182898
85,3,28,2.0,0.48,0.0,0.055042484671396025
86,3,28,3.0,0.66,0.68,0.12874629445006108
87,3,31,1.0,0.0,0.14,0.7949961310621263
88,3,41,0.0,0.32,0.68,0.010801123760840414
89,4,1,0.0,0.0,0.0,0.673584155232106
90,4,1,1.0,1.0,0.0,0.00990099157789989
91,4,1,2.0,1.0,1.0,0.6735841552321062
92,4,1,3.0,0.0,0.68,0.010871133262801782
93,4,2,0.0,0.68,0.0,0.010871133262801782
94,4,2,2.0,0.66,1.0,0.2660615719830961
95,4,2,3.0,0.0,1.0,0.00990099157789989
96,4,3,3.0,0.3,1.0,0.01050608403594439
97,4,4,1.0,1.0,0.66,0.2660615719830961
98,4,5,1.0,1.0,0.34,0.011431693414498158
99,4,5,2.0,0.68,0.66,0.12874629445006108
100,4,6,0.0,0.32,0.0,0.31781009255679465
101,4,8,0.0,0.0,0.34,0.266061571983096
102,4,10,1.0,0.66,0.34,0.011082540073508769
103,4,14,3.0,0.32,0.68,0.010801123760840414
104,4,16,0.0,0.34,0.32,0.12874629445006106
105,4,17,0.0,0.0,0.16,0.7642121044678257
106,4,17,3.0,0.48,1.0,0.03370369195277875
107,4,18,0.0,0.5,0.0,0.042943692401363975
108,4,23,0.0,0.14,0.0,0.7949961310621263
109,4,28,2.0,1.0,0.84,0.7642121044678257
110,4,48,3.0,0.0,0.86,0.00990872616035144
111,5,1,0.0,0.0,1.0,0.00990099157789989
112,5,1,1.0,0.0,0.0,0.673584155232106
113,5,1,3.0,1.0,1.0,0.6735841552321062
114,5,2,0.0,0.32,1.0,0.010871133262801782
115,5,2,1.0,0.34,0.0,0.266061571983096
116,5,2,2.0,1.0,0.0,0.00990099157789989
117,5,3,2.0,0.68,0.0,0.010871133262801782
118,5,3,3.0,1.0,0.68,0.3178100925567947
119,5,5,2.0,1.0,0.34,0.011431693414498158
120,5,8,1.0,0.0,0.34,0.266061571983096
121,5,9,3.0,0.66,1.0,0.2660615719830961
122,5,12,3.0,0.66,0.66,0.10877429814504562
123,5,14,1.0,0.32,0.34,0.12874629445006106
124,5,16,0.0,0.0,0.68,0.010871133262801782
125,5,19,1.0,0.0,0.16,0.7642121044678257
126,5,20,3.0,0.84,1.0,0.7642121044678257
127,5,24,2.0,0.66,0.34,0.011082540073508769
128,5,37,0.0,0.32,0.68,0.010801123760840414
129,5,49,3.0,1.0,0.5,0.042943692401363975
130,6,2,0.0,1.0,1.0,0.6735841552321062
131,6,2,1.0,0.0,0.0,0.673584155232106
132,6,2,2.0,1.0,0.0,0.00990099157789989
133,6,2,3.0,0.0,1.0,0.00990099157789989
134,6,3,0.0,0.68,1.0,0.3178100925567947
135,6,3,1.0,0.32,0.0,0.31781009255679465
136,6,4,0.0,1.0,0.64,0.21962750953120955
137,6,4,1.0,0.0,0.36,0.21962750953120955
138,6,5,1.0,0.0,0.56,0.02167380795483685
139,6,5,2.0,0.68,0.0,0.010871133262801782
140,6,6,0.0,0.66,0.68,0.12874629445006108
