,SimNum,Iteration,Period,Fidelity,Agent,X,Y,XMax,YMax,VarMax,Var0,XCentroid,YCentroid,ProbExplore,Explore
0,0,0,0,M,0,0.9995342702557559,0.3287122182396557,1.0,0.3287122182396557,0.0463338658877701,0.08118295458386696,0.7507475196159412,0.1819226685528641,0.5707339197651943,0.0
1,0,0,0,M,1,0.46422724514460156,0.8342052134054504,0.0,0.8342052134054504,0.046333865887770116,0.08118295458386696,0.23916597852738955,0.6778343295243965,0.5707339197651943,0.0
2,0,0,0,M,2,0.8392606337755223,0.6386331839862641,1.0,0.6386331839862641,0.04633386588777013,0.08118295458386696,0.7570860213776025,0.5279744293126382,0.5707339197651943,0.0
3,0,0,0,M,3,0.658999856117599,0.7681150769526636,0.96,0.7681150769526636,0.045999256830844756,0.08118295458386696,0.6012355601423965,0.651520241837661,0.5707339197651943,0.0
4,0,1,0,M,0,1.0,0.0,0.08,0.0,0.04580769762606144,0.08118295458386696,0.6169437969905308,0.17889433545782973,0.5707339197651938,True
5,0,1,0,M,1,0.23916597852738955,0.6778343295243965,0.0,0.6778343295243965,0.046333411785972285,0.08118295458386696,0.196970692604008,0.6786108964311726,0.570733919765194,False
6,0,1,0,M,2,0.7570860213776025,0.5279744293126382,1.0,0.5279744293126382,0.046145107834176906,0.08118295458386696,0.8070205436761562,0.5156664834830713,0.5707339197651943,False
7,0,1,0,M,3,0.6012355601423965,0.651520241837661,1.0,0.651520241837661,0.04633196840524048,0.08118295458386696,0.5703726174931474,0.7175806080250193,0.5666122533557794,False
8,0,2,0,M,0,0.08,0.0,0.58,0.0,0.04505795030663562,0.08118295458386696,0.40973563595274404,0.15618426329201318,0.5642526545241623,True
9,0,2,0,M,1,0.0,1.0,0.0,1.0,0.04515396459500248,0.08118295458386696,0.17606977320078826,0.5386432273350718,0.570728326204327,True
10,0,2,0,M,2,1.0,0.98,0.6,0.98,0.045056084649462244,0.08118295458386696,0.8685971886714442,0.5992142403618034,0.5684088251124956,True
11,0,2,0,M,3,1.0,1.0,0.5,1.0,0.04507993287518318,0.08118295458386696,0.6448603663861787,0.8049092415522844,0.5707105468473277,True
12,0,3,0,M,0,0.40973563595274404,0.15618426329201318,0.6,0.15618426329201318,0.045009118800757246,0.08118295458386696,0.37068639054150115,0.15328998402873587,0.5550173744919323,False
13,0,3,0,M,1,0.0,0.5,0.5,0.5,0.04463922298816508,0.08118295458386696,0.21912161368803634,0.5312143975712895,0.55620006473595,True
14,0,3,0,M,2,0.8685971886714442,0.5992142403618034,0.62,0.5992142403618034,0.04500730477935438,0.08118295458386696,0.8642061171079676,0.5683861884411678,0.5549943935942434,False
15,0,3,0,M,3,0.5,1.0,0.54,1.0,0.04477712538151951,0.08118295458386696,0.6899285141079574,0.82137612302217,0.5552881526209157,True
16,0,4,0,M,0,0.37068639054150115,0.15328998402873587,0.52,0.15328998402873587,0.04291448038855086,0.08118295458386696,0.29262972455116665,0.120069669967418,0.5544158750007069,False
17,0,4,0,M,1,0.5,0.48,0.24,0.48,0.03300078021056869,0.08118295458386696,0.19991814446708409,0.5776521799774416,0.5498595513920355,True
18,0,4,0,M,2,0.62,0.4,1.0,0.4,0.041153296848035065,0.08118295458386696,0.8924822764242394,0.5510181607513847,0.554393530145039,True
19,0,4,0,M,3,0.6899285141079574,0.82137612302217,0.74,0.82137612302217,0.03298945133726107,0.08118295458386696,0.7788980670766523,0.8618109132954936,0.5515582133101845,False
20,0,5,0,M,0,0.52,0.0,0.26,0.0,0.03042445600588759,0.08118295458386696,0.18053127814034475,0.13283937609513827,0.528614419227839,True
21,0,5,0,M,1,0.24,0.76,0.2,0.76,0.026669436307264864,0.08118295458386696,0.21527247793233792,0.48882595037927923,0.4064988811965061,True
22,0,5,0,M,2,0.8924822764242394,0.5510181607513847,1.0,0.5510181607513847,0.03958920813099049,0.08118295458386696,0.8853659324327612,0.516375249463707,0.5069204127760735,False
23,0,5,0,M,3,0.74,0.7000000000000001,0.76,0.7000000000000001,0.019779479471895962,0.08118295458386696,0.8320544530090384,0.8603647103025538,0.4063593337586765,True
24,0,6,0,M,0,0.18053127814034475,0.13283937609513827,0.0,0.13283937609513827,0.019460668173778735,0.08118295458386696,0.17905372129505795,0.13163039208983324,0.37476408886371915,False
25,0,6,0,M,1,0.2,0.34,0.24,0.34,0.0176583124873666,0.08118295458386696,0.2389712442377695,0.4484394544148736,0.3285102943588202,True
26,0,6,0,M,2,1.0,0.42,0.78,0.42,0.02107783048628211,0.08118295458386696,0.84740637284932,0.5939296403290194,0.4876541921135972,True
27,0,6,0,M,3,0.8320544530090384,0.8603647103025538,0.76,0.8603647103025538,0.019697862938409284,0.08118295458386696,0.8351073844940123,0.8533598190742729,0.2436407934803919,False
28,0,7,0,M,0,0.17905372129505795,0.13163039208983324,0.0,0.13163039208983324,0.019446811792913653,0.08118295458386696,0.17595521483344254,0.1254817498639809,0.23971372159995327,False
29,0,7,0,M,1,0.2389712442377695,0.4484394544148736,0.24,0.4484394544148736,0.017631594143897852,0.08118295458386696,0.2452492456417943,0.4219395178914378,0.21751256255553603,False
30,0,7,0,M,2,0.78,0.12,1.0,0.12,0.01607217758035319,0.08118295458386696,0.8407148009126839,0.6250926503805255,0.2596336952051606,True
31,0,7,0,M,3,0.8351073844940123,0.8533598190742729,0.76,0.8533598190742729,0.019678066772886957,0.08118295458386696,0.8355772557856035,0.8679586589446502,0.2426354527176045,False
32,0,8,0,M,0,0.17595521483344254,0.1254817498639809,0.0,0.1254817498639809,0.019446811792913653,0.08118295458386696,0.17351309891114505,0.12034005836744675,0.23954304068625523,False
33,0,8,0,M,1,0.2452492456417943,0.4219395178914378,0.24,0.4219395178914378,0.017631594143897852,0.08118295458386696,0.24697506778708406,0.4017965040452591,0.21718344982977106,False
34,0,8,0,M,2,0.8407148009126839,0.6250926503805255,1.0,0.6250926503805255,0.01607217758035319,0.08118295458386696,0.8361562788014586,0.6463656536061793,0.19797478008452682,False
35,0,8,0,M,3,0.8355772557856035,0.8679586589446502,0.76,0.8679586589446502,0.019678066772886957,0.08118295458386696,0.8362495374602843,0.8785980700872543,0.2423916063877462,False
36,0,9,0,M,0,0.17351309891114505,0.12034005836744675,0.0,0.12034005836744675,0.019446811792913653,0.08118295458386696,0.17129342383301244,0.11620909294083949,0.23954304068625523,False
37,0,9,0,M,1,0.24697506778708406,0.4017965040452591,0.24,0.4017965040452591,0.017631594143897852,0.08118295458386696,0.248361006834734,0.38665716475951206,0.21718344982977106,False
38,0,9,0,M,2,0.8361562788014586,0.6463656536061793,1.0,0.6463656536061793,0.01607217758035319,0.08118295458386696,0.8360053406038447,0.6628728944883614,0.19797478008452682,False
39,0,9,0,M,3,0.8362495374602843,0.8785980700872543,0.76,0.8785980700872543,0.019678066772886957,0.08118295458386696,0.8353463701422003,0.8877287898018074,0.2423916063877462,False
40,0,10,0,M,0,0.17129342383301244,0.11620909294083949,0.0,0.11620909294083949,0.019446811792913653,0.08118295458386696,0.169665740675639,0.11294762145893603,0.23954304068625523,False
41,0,10,0,M,1,0.248361006834734,0.38665716475951206,0.22,0.38665716475951206,0.017162783938689807,0.08118295458386696,0.24903027717935283,0.3754865996646446,0.21718344982977106,False
42,0,10,0,M,2,0.8360053406038447,0.6628728944883614,1.0,0.6628728944883614,0.01607217758035319,0.08118295458386696,0.8358744051264972,0.6645582256513589,0.19797478008452682,False
43,0,10,0,M,3,0.8353463701422003,0.8877287898018074,0.76,0.8877287898018074,0.019678066772886957,0.08118295458386696,0.834624605349035,0.88777472073099,0.2423916063877462,False
44,0,11,0,M,0,0.169665740675639,0.11294762145893603,0.0,0.11294762145893603,0.019428968910429514,0.08118295458386696,0.16563193006467872,0.11100418194781973,0.23954304068625523,False
45,0,11,0,M,1,0.24903027717935283,0.3754865996646446,0.0,0.3754865996646446,0.016820446892805416,0.08118295458386696,0.24647655536374655,0.3606205019080398,0.21140871290856508,False
46,0,11,0,M,2,1.0,0.66,0.5,0.66,0.011996554914978474,0.08118295458386696,0.8208422667068277,0.6350823609420543,0.19797478008452682,True
47,0,11,0,M,3,0.76,1.0,0.24,1.0,0.016404766056885164,0.08118295458386696,0.8281649449486463,0.8917345425554222,0.2423916063877462,True
48,0,12,0,M,0,0.0,0.22,0.36,0.22,0.01451229550659587,0.08118295458386696,0.15444361849901198,0.11249632932976694,0.23932325461693071,True
49,0,12,0,M,1,0.24647655536374655,0.3606205019080398,0.0,0.3606205019080398,0.016283944691385194,0.08118295458386696,0.23367185015854133,0.3319944766745692,0.20719185423867353,False
50,0,12,0,M,2,0.8208422667068277,0.6350823609420543,0.5,0.6350823609420543,0.011860166245876436,0.08118295458386696,0.8079144314675416,0.6330754067629194,0.14777184418171552,False
51,0,12,0,M,3,0.8281649449486463,0.8917345425554222,0.24,0.8917345425554222,0.016363936903884768,0.08118295458386696,0.8272112364344114,0.8901290984390968,0.20207155727423098,False
52,0,13,0,M,0,0.15444361849901198,0.11249632932976694,0.36,0.11249632932976694,0.014500539557468745,0.08118295458386696,0.15097916098681557,0.10692625651900207,0.1787603762511967,False
53,0,13,0,M,1,0.23367185015854133,0.3319944766745692,0.0,0.3319944766745692,0.015845021559650535,0.08118295458386696,0.22589632130005788,0.32596300423805963,0.20058329700926175,False
54,0,13,0,M,2,0.5,0.76,1.0,0.76,0.010011451114938577,0.08118295458386696,0.8109003281450773,0.6239430634013706,0.14609182810197133,True
55,0,13,0,M,3,0.8272112364344114,0.8901290984390968,0.24,0.8901290984390968,0.015410665232179974,0.08118295458386696,0.8349945154754699,0.8882516945976008,0.20156862961891614,False
56,0,14,0,M,0,0.15097916098681557,0.10692625651900207,0.34,0.10692625651900207,0.014190858250550165,0.08118295458386696,0.1502898904962573,0.10330616347975692,0.17861556815462784,False
57,0,14,0,M,1,0.0,0.76,0.42,0.76,0.014634533977046005,0.08118295458386696,0.22242529303965433,0.3186216600842729,0.195176704775898,True
58,0,14,0,M,2,0.8109003281450773,0.6239430634013706,1.0,0.6239430634013706,0.01001144153906501,0.08118295458386696,0.8086742268815613,0.6196652544708148,0.12331962006379228,False
59,0,14,0,M,3,0.8349945154754699,0.8882516945976008,0.24,0.8882516945976008,0.014028169432980533,0.08118295458386696,0.8350816441949875,0.8869792957934943,0.18982636578297743,False
60,0,15,0,M,0,0.1502898904962573,0.10330616347975692,0.34,0.10330616347975692,0.014190858250550165,0.08118295458386696,0.1501803965892717,0.09968866793373582,0.17480095819732874,False
61,0,15,0,M,1,0.22242529303965433,0.3186216600842729,0.42,0.3186216600842729,0.014634533977046005,0.08118295458386696,0.21860363472800737,0.31373738415804886,0.18026609221185264,False
62,0,15,0,M,2,0.8086742268815613,0.6196652544708148,1.0,0.6196652544708148,0.01001144153906501,0.08118295458386696,0.8063700891276727,0.6150812490954004,0.12331950210955404,False
63,0,15,0,M,3,0.8350816441949875,0.8869792957934943,0.24,0.8869792957934943,0.014028169432980533,0.08118295458386696,0.8356027634676878,0.8852313835471157,0.1727969806579111,False
64,0,16,0,M,0,0.1501803965892717,0.09968866793373582,0.34,0.09968866793373582,0.014190858250550165,0.08118295458386696,0.1506366145619339,0.09907008201369467,0.17480095819732874,False
65,0,16,0,M,1,0.21860363472800737,0.31373738415804886,0.42,0.31373738415804886,0.014634533977046005,0.08118295458386696,0.2166359109608035,0.31339416176862783,0.18026609221185264,False
66,0,16,0,M,2,0.8063700891276727,0.6150812490954004,1.0,0.6150812490954004,0.01001144153906501,0.08118295458386696,0.8041701537880437,0.6109399863041979,0.12331950210955404,False
67,0,16,0,M,3,0.8356027634676878,0.8852313835471157,0.24,0.8852313835471157,0.014028169432980533,0.08118295458386696,0.83595530947535,0.8839749300844587,0.1727969806579111,False
68,0,17,0,M,0,0.1506366145619339,0.09907008201369467,0.34,0.09907008201369467,0.014151397207526492,0.08118295458386696,0.15127929534083606,0.09797487150129444,0.17480095819732874,False
69,0,17,0,M,1,0.2166359109608035,0.31339416176862783,0.42,0.31339416176862783,0.014601802645089201,0.08118295458386696,0.21439263767873493,0.3140564560421584,0.18026609221185264,False
70,0,17,0,M,2,0.8041701537880437,0.6109399863041979,1.0,0.6109399863041979,0.01001139936462088,0.08118295458386696,0.8037949916873249,0.608936906720365,0.12331950210955404,False
71,0,17,0,M,3,0.24,1.0,0.66,1.0,0.0033311147824185844,0.08118295458386696,0.8341538035047007,0.8834417744997523,0.1727969806579111,True
72,0,18,0,M,0,0.15127929534083606,0.09797487150129444,0.3,0.09797487150129444,0.011931160713290048,0.08118295458386696,0.15174282747939064,0.09753354646432331,0.17431488272463935,False
73,0,18,0,M,1,0.42,0.2,0.24,0.2,0.005977946929721728,0.08118295458386696,0.20688284275807095,0.3165895390102762,0.1798629123556306,True
74,0,18,0,M,2,0.8037949916873249,0.608936906720365,1.0,0.608936906720365,0.009945651727460175,0.08118295458386696,0.8028693106172149,0.6056951021980127,0.12331898261079537,False
75,0,18,0,M,3,0.8341538035047007,0.8834417744997523,0.66,0.8834417744997523,0.003285241188580451,0.08118295458386696,0.8339326401448706,0.8826919993707899,0.04103219449813617,False
76,0,19,0,M,0,0.15174282747939064,0.09753354646432331,0.3,0.09753354646432331,0.01180426411944438,0.08118295458386696,0.15465276596051902,0.09725936469001327,0.14696632777714969,False
77,0,19,0,M,1,0.20688284275807095,0.3165895390102762,0.24,0.3165895390102762,0.005975375145841649,0.08118295458386696,0.2053077863904054,0.31785159729811346,0.07363549356344433,False
78,0,19,0,M,2,1.0,0.2,0.8200000000000001,0.2,0.005998743722013963,0.08118295458386696,0.7960432111668508,0.623014183884524,0.1225091126387339,True
79,0,19,0,M,3,0.8339326401448706,0.8826919993707899,0.66,0.8826919993707899,0.0032849813676548434,0.08118295458386696,0.8335369241519981,0.8821595341207914,0.04046713014351549,False
80,0,20,0,M,0,0.3,0.0,0.76,0.0,0.004938062194415296,0.08118295458386696,0.15502937290333085,0.0969658205023237,0.1454032337200767,True
81,0,20,0,M,1,0.2053077863904054,0.31785159729811346,0.24,0.31785159729811346,0.005927395744155822,0.08118295458386696,0.20697277491134883,0.3184815757264967,0.0736038146981793,False
82,0,20,0,M,2,0.7960432111668508,0.623014183884524,0.8200000000000001,0.623014183884524,0.005896692658086039,0.08118295458386696,0.793161930531245,0.6362870306458684,0.07389166547045162,False
83,0,20,0,M,3,0.8335369241519981,0.8821595341207914,0.66,0.8821595341207914,0.0032711404385339232,0.08118295458386696,0.835376316264355,0.8853330246163772,0.04046392970658954,False
84,0,21,0,M,0,0.15502937290333085,0.0969658205023237,0.78,0.0969658205023237,0.0049721309451591506,0.08118295458386696,0.15529187336175268,0.09761783551896698,0.06082634242282937,False
85,0,21,0,M,1,0.20697277491134883,0.3184815757264967,0.24,0.3184815757264967,0.005888276299010592,0.08118295458386696,0.20744720465809008,0.31343935475241236,0.07301281130428014,False
86,0,21,0,M,2,0.793161930531245,0.6362870306458684,0.84,0.6362870306458684,0.00524910775004947,0.08118295458386696,0.7865944849637773,0.6369784680204842,0.07263461509022064,False
87,0,21,0,M,3,0.66,0.86,0.86,0.86,0.0028098754569099715,0.08118295458386696,0.840702234533645,0.8879185200316267,0.040293439125261635,True
88,0,22,0,M,0,0.15529187336175268,0.09761783551896698,0.78,0.09761783551896698,0.004794983579679238,0.08118295458386696,0.15557569863319853,0.09684545525737129,0.06124599641200094,False
89,0,22,0,M,1,0.20744720465809008,0.31343935475241236,0.22,0.31343935475241236,0.005730641613294674,0.08118295458386696,0.20710645041013098,0.3104726525298877,0.07253094358530204,False
90,0,22,0,M,2,0.84,0.4,0.8,0.4,0.0047457689615124365,0.08118295458386696,0.7816823155449343,0.6471549561377649,0.06465775700029272,True
91,0,22,0,M,3,0.840702234533645,0.8879185200316267,0.86,0.8879185200316267,0.0028081298708933777,0.08118295458386696,0.8419281296997032,0.888356237104145,0.034611643186836696,False
92,0,23,0,M,0,0.15557569863319853,0.09684545525737129,0.18,0.09684545525737129,0.0041037995109946684,0.08118295458386696,0.15408473683814314,0.09577372608610595,0.05906392055152078,False
93,0,23,0,M,1,0.20710645041013098,0.3104726525298877,0.22,0.3104726525298877,0.0056085786959776535,0.08118295458386696,0.21036793112228577,0.30905165364530657,0.07058922211773619,False
94,0,23,0,M,2,0.8,0.0,0.36,0.0,0.002446561932084465,0.08118295458386696,0.7789466585557226,0.6550863103194675,0.058457701938031424,True
95,0,23,0,M,3,0.8419281296997032,0.888356237104145,0.86,0.888356237104145,0.002805275445249375,0.08118295458386696,0.8439174535394428,0.8906148852296204,0.03459014130844927,False
96,1,0,0,M,0,0.16882947073481658,0.7341674667386899,0.0,0.7341674667386899,0.04633386588777007,0.08118295458386696,0.16833130576129937,0.7643350002349667,0.5707339197651943,0.0
97,1,0,0,M,1,0.887409685653601,0.804225316945976,1.0,0.804225316945976,0.046146235112737626,0.08118295458386696,0.8617666745672773,0.5142405328603228,0.5707339197651943,0.0
98,1,0,0,M,2,0.4350675960945546,0.5775253416958436,0.0,0.5775253416958436,0.046333865887770116,0.08118295458386696,0.5538580494284218,0.33830599446360776,0.5707339197651943,0.0
99,1,0,0,M,3,0.9258906457902802,0.9627557743777096,1.0,0.9627557743777096,0.04633386588777013,0.08118295458386696,0.7180928957164466,0.9661299807725081,0.5707339197651943,0.0
100,1,1,0,M,0,0.16833130576129937,0.7643350002349667,0.0,0.7643350002349667,0.04632961737532972,0.08118295458386696,0.1887458859642916,0.7216812295599707,0.5707339197651935,False
101,1,1,0,M,1,1.0,0.02,0.62,0.02,0.04506225907237577,0.08118295458386696,0.8503144113052156,0.5243699812212331,0.568422710768253,True
102,1,1,0,M,2,0.0,0.0,0.5,0.0,0.04510066397137117,0.08118295458386696,0.39145810263031766,0.2363665498619546,0.570733919765194,True
103,1,1,0,M,3,1.0,1.0,0.4,1.0,0.04567410835994333,0.08118295458386696,0.7361230122923764,0.879929644659943,0.5707339197651943,True
104,1,2,0,M,0,0.1887458859642916,0.7216812295599707,0.0,0.7216812295599707,0.045619083681049076,0.08118295458386696,0.1508628317818557,0.7134363061200018,0.5706815871978199,False
105,1,2,0,M,1,0.62,0.58,1.0,0.58,0.043153383883383675,0.08118295458386696,0.8598049850082614,0.4550029170498315,0.5550704492508178,True
106,1,2,0,M,2,0.5,0.0,0.16,0.0,0.044071961507820875,0.08118295458386696,0.24666062661535082,0.203545212893869,0.5555435152927259,True
107,1,2,0,M,3,0.4,1.0,0.9,1.0,0.03171491392271763,0.08118295458386696,0.8523083146164875,0.8823598681189029,0.5626071210891836,True
108,1,3,0,M,0,0.0,0.62,0.0,0.62,0.04192899621351665,0.08118295458386696,0.1866646059376602,0.7868927277876387,0.5619293349803101,True
109,1,3,0,M,1,1.0,0.48,0.72,0.48,0.03369475008619862,0.08118295458386696,0.753101351641345,0.3512749732056148,0.5315571982392386,True
110,1,3,0,M,2,0.16,0.42,0.58,0.42,0.03048648150384846,0.08118295458386696,0.21006574550263687,0.18622122161077032,0.5428721057730393,True
111,1,3,0,M,3,0.8523083146164875,0.8823598681189029,0.7000000000000001,0.8823598681189029,0.03151938697838651,0.08118295458386696,0.8536299913821737,0.8740368339057715,0.39065976454397433,False
