X,Y,f_H_train
0.9400000000000001,0.1,0.43686598452518655
0.34,0.98,0.08109043471666195
0.14,0.4,0.5047431930523305
0.84,0.7000000000000001,-0.05790667173165666
0.04,0.04,0.4351334350490277
0.68,0.98,0.03147848150418451
0.06,0.76,0.19693178497865776
0.02,0.3,0.4322713502568972
0.84,0.16,0.6177213194147515
0.04,0.4,0.35032092398643594
1.0,0.74,0.056128503201429085
0.96,0.5,0.0009324646893730595
0.48,0.24,0.39701836384597955
0.32,0.64,0.15372856025502202
0.44,0.44,0.2903025176639952
1.0,0.0,0.3286275262262353
0.06,0.72,0.16781571432527978
0.76,0.44,0.2559625425790963
0.44,0.16,0.5967600623751323
0.92,0.18,0.6001989238054425
0.04,0.4,0.35032092398643594
0.44,0.88,0.06713545379827383
0.26,0.46,0.3739110738360877
0.68,0.46,0.22192484787122332
0.7000000000000001,0.24,0.5491724615287356
0.36,0.36,0.401095848214375
0.14,0.6,0.22547381001535083
0.88,0.96,0.0054837527589883224
0.6,0.56,0.10888406677851738
0.04,0.5,0.34818296533299103
0.36,0.96,0.20806291340716543
0.32,0.42,0.3595746598069372
0.78,0.24,0.7986474844921723
0.2,0.78,0.20037813126917212
0.16,0.42,0.4919954981885921
0.58,0.48,0.11365768312602555
0.72,0.68,0.023601168489907672
0.12,0.22,0.8727141517730707
0.6,0.74,-0.0064691395470039895
0.42,0.4,0.2525124962198894
0.42,0.58,0.13306566566353262
0.52,0.48,0.13128298933624233
0.9,0.22,0.6702220677558363
0.32,0.32,0.6142088406154218
1.0,0.14,0.45312266130707995
0.64,0.5,0.13555644876691222
0.66,0.0,0.3102857695728526
0.2,0.18,0.9363129910808036
0.1,0.8200000000000001,0.16653993897902652
0.9,0.42,0.17681100603550617
0.88,0.74,0.008375966171744964
1.0,0.62,0.005553080024115279
0.44,0.28,0.4506709201190302
0.12,0.62,0.18894813822469603
0.32,0.9400000000000001,0.11191072929871657
0.14,0.72,0.13171670830513663
0.18,0.18,0.9371935887479875
0.2,0.8200000000000001,0.18150352489174076
0.12,0.8,0.17901229700093563
0.58,0.22,0.410483037119956
0.96,0.36,0.21529633407208784
0.84,0.64,0.06751334092066735
0.48,0.86,0.013510125125114666
0.72,0.22,0.5734651538623275
0.78,0.84,0.07171776286809908
0.02,0.76,0.12227806976423969
0.86,0.92,-0.04548326743635361
0.48,0.8,0.03735640276044719
0.62,0.5,0.11875272689831413
0.66,0.72,-0.02206129447233844
0.86,0.9,0.052887712281655876
0.02,0.74,0.1552017904902832
0.32,0.76,0.059562640989041044
0.58,0.5,0.17113426439894136
0.04,0.28,0.4864162444271358
0.88,0.6,-0.024862739023351052
0.44,0.9400000000000001,0.10226672091153945
0.44,0.48,0.047835256053637434
0.9,0.54,-0.05550548503811846
0.1,0.16,0.7883637078673984
0.04,0.36,0.474877908926405
0.9400000000000001,0.54,0.020666716064703293
0.32,0.16,0.8723212806867298
0.98,0.26,0.4372887524328319
0.64,0.96,0.035053250090669674
0.72,0.8,-0.019268251987307902
0.66,1.0,-0.051175871136970134
0.36,0.7000000000000001,0.09065251729063482
0.28,0.08,1.0872704200585872
0.78,0.08,0.5932349031393124
0.5,0.32,0.3881486190134362
0.7000000000000001,0.62,0.01206243489576984
0.0,0.28,0.3935745077934972
0.34,0.72,0.10140242258758349
0.4,0.68,0.08003551917137737
0.22,0.98,0.17734871998409127
0.96,0.98,0.034450417936448055
0.96,0.18,0.6331421413654563
0.18,0.56,0.33178720352431257
0.24,0.36,0.5493843724235984
0.76,0.62,0.011329193655439582
0.38,0.84,0.1168215800140375
0.46,0.06,0.6129443628057575
0.56,0.7000000000000001,0.031140311387114372
0.8200000000000001,0.86,-0.05185439182802711
0.06,0.72,0.16781571432527978
0.76,0.8200000000000001,-0.02220713955592845
0.48,0.5,0.08137472198177098
0.68,0.96,0.02775462148346909
0.38,1.0,0.02126132681439269
0.9400000000000001,0.6,-0.025470129441014372
0.52,0.56,0.057624000482782295
0.54,0.02,0.47619433180932424
0.66,0.6,0.04064609408938953
0.8200000000000001,0.76,-0.0024766566771511414
0.58,0.6,0.05338403276634254
0.36,0.26,0.6387109465506058
0.8200000000000001,0.88,0.020560825742893283
0.52,0.32,0.2922399180755352
0.08,0.62,0.23230225362040857
0.2,0.36,0.5824480359959706
0.62,0.86,0.06488722158855285
0.32,0.74,0.07070896965183865
0.54,0.22,0.3284358514140621
0.14,0.9400000000000001,0.28254592212945645
0.64,0.84,-0.06587301183961508
0.92,0.92,0.042534483140884656
0.84,0.16,0.6177213194147515
0.72,0.16,0.5500566878111475
0.16,0.5,0.4481133155778461
0.18,0.58,0.3075096309745457
0.98,0.3,0.3501674357858293
0.44,0.4,0.18199019323178764
0.64,0.8200000000000001,0.03643972117957101
0.24,0.24,0.8912408229015522
0.84,0.02,0.36891593402175127
0.98,0.42,0.16582607732541937
0.14,0.66,0.14365964941531464
0.9,0.88,0.03443259086159162
0.54,0.74,0.020475505305616315
0.92,0.38,0.25594233212235223
0.06,0.34,0.5143910929568984
0.9,0.76,0.05194938632382731
0.76,0.24,0.6214879894692337
0.7000000000000001,0.2,0.523347516712757
0.42,0.9400000000000001,0.02541513637678803
0.36,0.06,0.9862038876670878
0.24,0.28,0.7555364820308037
0.02,0.46,0.43772999674728863
0.48,0.84,0.08921199820343356
0.72,0.42,0.3520473321640181
