,SimNum,Iteration,Agent,X,Y,Sample
140,6,1,3.0,0.0,0.32,0.7639676552447346
141,6,2,0.0,1.0,0.48,0.4706753867399076
142,6,2,1.0,1.0,0.32,0.23603234475526536
143,6,2,3.0,0.0,1.0,0.08954637973597337
144,6,3,0.0,1.0,1.0,0.9104536202640268
145,6,3,1.0,0.54,0.46,0.49160717353981004
146,6,3,2.0,0.42,0.42,0.5337294171346696
147,6,4,1.0,0.8,0.0,0.0927877046994051
148,6,5,3.0,0.0,0.68,0.2360323447552653
149,6,6,1.0,1.0,0.0,0.08954637973597337
150,6,7,1.0,0.62,0.22,0.3326644990634734
151,6,10,0.0,0.7000000000000001,1.0,0.7917747748208913
152,6,15,0.0,0.8,0.76,0.8642860972051173
153,6,19,1.0,0.8200000000000001,0.42,0.3787131717405018
154,6,20,3.0,0.26,0.7000000000000001,0.2556529009510872
155,6,27,3.0,0.2,1.0,0.0927877046994051
156,6,29,1.0,0.56,0.0,0.4118635843239651
157,6,35,2.0,0.16,0.2,0.9323871001927364
158,6,38,2.0,0.1,0.48,0.5323657183203773
159,7,1,0.0,0.0,0.0,0.9104536202640268
160,7,1,1.0,0.28,0.0,0.8184775922721355
161,7,1,2.0,0.54,0.0,0.4413070191178475
162,7,1,3.0,0.0,0.56,0.4118635843239651
163,7,2,0.0,0.28,0.4,0.6142478971905411
164,7,2,1.0,0.6,0.66,0.5844332010461122
165,7,2,2.0,1.0,1.0,0.9104536202640268
166,7,2,3.0,0.84,1.0,0.9358288113539526
167,7,3,1.0,0.88,0.0,0.04907200999241173
168,7,3,2.0,1.0,0.3,0.2082252251791087
169,7,3,3.0,0.16,1.0,0.06417118864604733
170,7,4,3.0,0.46,1.0,0.4413070191178475
171,7,6,0.0,0.0,0.26,0.8437348258334012
172,7,6,2.0,1.0,0.66,0.7353661050946785
173,7,8,1.0,0.68,0.32,0.330239229049602
174,7,9,3.0,0.26,0.76,0.1924999082262545
175,7,10,2.0,0.84,0.5,0.5
176,7,14,1.0,1.0,0.0,0.08954637973597337
177,7,15,2.0,0.8200000000000001,0.8,0.9197571071397594
178,7,22,0.0,0.38,0.18,0.6822546636117489
179,7,29,3.0,0.0,0.9,0.04698034244415705
180,8,1,0.0,0.0,0.0,0.9104536202640268
181,8,1,1.0,0.52,0.0,0.4706753867399076
182,8,1,2.0,0.0,0.48,0.5293246132600924
183,8,1,3.0,0.0,0.54,0.4413070191178475
184,8,2,0.0,0.48,0.48,0.5020950794447879
185,8,2,1.0,1.0,0.78,0.8884639342659912
186,8,2,2.0,1.0,1.0,0.9104536202640268
187,8,2,3.0,0.3,1.0,0.2082252251791087
188,8,3,1.0,1.0,0.0,0.08954637973597337
189,8,3,3.0,0.0,1.0,0.08954637973597337
190,8,4,1.0,1.0,0.36,0.2937609456287935
191,8,5,2.0,0.68,1.0,0.7639676552447346
192,8,7,3.0,0.52,0.76,0.5262333653473868
193,8,8,0.0,0.26,0.16,0.8649853069088863
194,8,10,1.0,0.74,0.24,0.1924999082262545
195,8,10,2.0,0.78,0.56,0.5834145859490572
196,8,16,3.0,0.22,0.66,0.277243423704905
197,8,28,0.0,0.24,0.0,0.8671857385821794
198,8,35,2.0,0.8200000000000001,0.84,0.9492551997405956
199,8,35,3.0,0.0,0.8200000000000001,0.0769017138102671
200,8,44,1.0,0.8,0.0,0.0927877046994051
201,8,47,0.0,0.0,0.16,0.9358288113539526
202,9,1,0.0,0.92,0.66,0.7588556183482046
203,9,1,1.0,0.0,0.58,0.3823379357128195
204,9,1,2.0,0.3,0.0,0.7917747748208912
205,9,1,3.0,0.0,0.0,0.9104536202640268
206,9,2,0.0,0.48,0.7000000000000001,0.4791543258281669
207,9,2,1.0,0.42,1.0,0.3823379357128194
208,9,2,2.0,1.0,0.0,0.08954637973597337
209,9,2,3.0,0.36,0.42,0.5591212056025786
210,9,3,0.0,1.0,1.0,0.9104536202640268
211,9,3,2.0,0.74,0.26,0.21213890033491306
212,9,5,1.0,0.0,1.0,0.08954637973597337
213,9,5,3.0,0.0,0.28,0.8184775922721355
214,9,6,2.0,1.0,0.34,0.2646338949053215
215,9,7,1.0,0.22,0.8,0.11460373960839022
216,9,9,2.0,0.66,0.0,0.2646338949053215
217,9,10,0.0,0.74,1.0,0.8437348258334012
218,9,30,0.0,0.74,0.56,0.5738099361201744
219,9,41,0.0,0.76,0.8200000000000001,0.8784974697202036
220,9,43,3.0,0.46,0.16,0.5623215165607122
