,SimNum,Iteration,Agent,X,Y,Sample
0,0,1,0.0,1.0,1.0,0.07897699999999999
1,0,1,1.0,1.0,0.1,0.13662
2,0,2,1.0,0.1,0.1,0.2059
3,0,3,0.0,0.48,1.0,0.026271
4,0,3,1.0,0.7,0.1,0.21336
5,0,3,2.0,0.1,1.0,0.13662
6,0,3,3.0,1.0,0.54,0.033477
7,0,4,1.0,0.1,0.48,0.073929
8,0,4,2.0,0.3,1.0,0.14654
