,SimNum,Iteration,X,Y,Mu,Var
0,0,0,0.0,0.0,0.02483426179410192,0.034435811605836066
1,0,0,0.0,0.02,0.03584490798169429,0.03441273162807988
2,0,0,0.0,0.04,0.046768848134095486,0.03442580693993341
3,0,0,0.0,0.06,0.05756411980904602,0.03444989986526013
4,0,0,0.0,0.08,0.06818910821586971,0.034469380346877646
5,0,0,0.0,0.1,0.07860274934548556,0.03447705733734439
6,0,0,0.0,0.12,0.0887647392778898,0.03447228374186574
7,0,0,0.0,0.14,0.0986357549582898,0.03445861961538312
8,0,0,0.0,0.16,0.10817768977920528,0.03444146724476017
9,0,0,0.0,0.18,0.11735390469398299,0.03442605037418821
10,0,0,0.0,0.2,0.12612949251558414,0.03441600797814319
11,0,0,0.0,0.22,0.1344715497768551,0.03441273162779924
12,0,0,0.0,0.24,0.14234944733516436,0.03441542273810468
13,0,0,0.0,0.26,0.14973508810150887,0.03442171148863371
14,0,0,0.0,0.28,0.15660313815845273,0.03442858822482302
15,0,0,0.0,0.3,0.16293121636508623,0.03443336635482651
16,0,0,0.0,0.32,0.1687000275333081,0.03443442613322695
17,0,0,0.0,0.34,0.17389342552213188,0.03443157106231076
18,0,0,0.0,0.36,0.17849839516322846,0.03442594194785116
19,0,0,0.0,0.38,0.18250494572611925,0.03441955086927147
20,0,0,0.0,0.4,0.18590591347447277,0.034414591426414266
21,0,0,0.0,0.42,0.18869667647861937,0.034412731627634974
22,0,0,0.0,0.44,0.19087479087471954,0.03441459142641428
23,0,0,0.0,0.46,0.19243956378161137,0.0344195508692715
24,0,0,0.0,0.48,0.1933915836567166,0.03442594194785115
25,0,0,0.0,0.5,0.19373223355064384,0.03443157106231076
26,0,0,0.0,0.52,0.19346321610250877,0.03443442613322693
27,0,0,0.0,0.54,0.19258612087031513,0.034433366354826515
28,0,0,0.0,0.56,0.19110206447737133,0.03442858822482301
29,0,0,0.0,0.58,0.18901143196145714,0.034421711488633724
30,0,0,0.0,0.6,0.1863137436564669,0.03441542273810461
31,0,0,0.0,0.62,0.18300766607272267,0.03441273162779917
32,0,0,0.0,0.64,0.17909117785906792,0.03441600797814317
33,0,0,0.0,0.66,0.17456189342980832,0.034426050374188215
34,0,0,0.0,0.68,0.16941753771448753,0.03444146724476017
35,0,0,0.0,0.7,0.1636565562886655,0.03445861961538311
36,0,0,0.0,0.72,0.15727883644014073,0.034472283741865756
37,0,0,0.0,0.74,0.15028650707048968,0.03447705733734436
38,0,0,0.0,0.76,0.1426847792235985,0.03446938034687762
39,0,0,0.0,0.78,0.13448278487806742,0.034449899865260154
40,0,0,0.0,0.8,0.12569436972797216,0.03442580693993342
41,0,0,0.0,0.82,0.11633879615779497,0.03441273162807988
42,0,0,0.0,0.84,0.1064413154959622,0.03443581160583608
43,0,0,0.0,0.86,0.09603357376340971,0.0345296457896819
44,0,0,0.0,0.88,0.08515382223816731,0.03473699267563883
45,0,0,0.0,0.9,0.07384691283557093,0.03510624926718227
46,0,0,0.0,0.92,0.06216406806791608,0.035687921982732705
47,0,0,0.0,0.94,0.05016242565070328,0.036530448028613716
48,0,0,0.0,0.96,0.03790436809704545,0.037675822148384316
49,0,0,0.0,0.98,0.02545665733287386,0.03915551616878404
50,0,0,0.0,1.0,0.012889402967338842,0.04098714476001772
51,0,0,0.02,0.0,0.03396696817482606,0.03441273162807989
52,0,0,0.02,0.02,0.046058392704061674,0.0343896436438471
53,0,0,0.02,0.04,0.05808298991644434,0.034402724328133724
54,0,0,0.02,0.06,0.06998980695125451,0.034426826519022104
55,0,0,0.02,0.08,0.08172814133589196,0.034446314307115436
56,0,0,0.02,0.1,0.09324794733347436,0.03445399400675755
57,0,0,0.02,0.12,0.10450023990654483,0.03444921836537432
58,0,0,0.02,0.14,0.11543749362099265,0.034435548861142494
59,0,0,0.02,0.16,0.12601403255955124,0.03441838987870857
60,0,0,0.02,0.18,0.13618640580161268,0.03440296716356059
61,0,0,0.02,0.2,0.14591374140447044,0.034392921062385395
62,0,0,0.02,0.22,0.1551580702706868,0.03438964364377154
63,0,0,0.02,0.24,0.16388461000578874,0.03439233597615303
64,0,0,0.02,0.26,0.17206199805936478,0.034398627294197626
65,0,0,0.02,0.28,0.17966246328441804,0.03440550676360344
66,0,0,0.02,0.3,0.18666192569202072,0.03441028675101006
67,0,0,0.02,0.32,0.19304001571747897,0.03441134689379769
68,0,0,0.02,0.34,0.19878000678046048,0.03440849063605333
69,0,0,0.02,0.36,0.20386865827029216,0.034402859247108696
70,0,0,0.02,0.38,0.2082959701958222,0.034396465607276466
71,0,0,0.02,0.4,0.2120548554069478,0.03439150418405064
72,0,0,0.02,0.42,0.2151407402560297,0.034389643643727305
73,0,0,0.02,0.44,0.21755110950334305,0.03439150418405064
74,0,0,0.02,0.46,0.2192850158322222,0.034396465607276494
75,0,0,0.02,0.48,0.22034257817070974,0.03440285924710872
76,0,0,0.02,0.5,0.22072449578160974,0.034408490636053335
77,0,0,0.02,0.52,0.22043160649334453,0.0344113468937977
78,0,0,0.02,0.54,0.21946451728345207,0.034410286751010065
79,0,0,0.02,0.56,0.2178233335711381,0.03440550676360343
80,0,0,0.02,0.58,0.2155075100089009,0.034398627294197605
81,0,0,0.02,0.6,0.2125158403846451,0.034392335976153036
82,0,0,0.02,0.62,0.2088465976681228,0.034389643643771506
83,0,0,0.02,0.64,0.20449782757676027,0.03439292106238537
84,0,0,0.02,0.66,0.19946779070177378,0.03440296716356059
85,0,0,0.02,0.68,0.193755539694365,0.0344183898787085
