,SimNum,Iteration,Loss
0,0,0,0.03169589662803879
1,0,1,0.01390287896386201
2,0,2,0.008010043153753397
3,0,3,0.007739503362883427
4,0,4,0.014293776748079077
5,1,0,0.03054837858575483
6,1,1,0.010889852766356973
7,1,2,0.013802403682866775
8,1,3,0.00533186230856561
9,1,4,0.005300690723755226
10,2,0,0.014459585584871256
11,2,1,0.008128445992470553
12,2,2,0.015145173440656759
13,2,3,0.006624388342973414
14,2,4,0.009792796225616952
15,3,0,0.02031386402036295
16,3,1,0.03110090671872891
17,3,2,0.01687665426423195
18,3,3,0.00632052050185674
19,3,4,0.007509799652087219
20,4,0,0.014739870266332113
21,4,1,0.014665635211644646
22,4,2,0.02267061655445803
23,4,3,0.008263279542023256
24,4,4,0.010545134838364764
